feature_class,f1
raw,0.4302
group,0.4307
count,0.5167
countday,0.516
counthour,0.514
countminute,0.5314
countsecond,0.4788
cumcount,0.4629
recumcount,0.5042
cumcountday,0.4607
cumcounthour,0.4607
cumcountminute,0.4604
recumcountday,0.5296
recumcounthour,0.5296
recumcountminute,0.5434
cumcountratioday,0.4636
cumcountratiominute,0.4657
diffnext,0.575
diffprevious,0.4834
diffnext_2,0.4866
diffprevious_2,0.4582
diffnext_5,0.4573
diffprevious_5,0.4502
CatBoostEncoder,0.4378
LeaveOneOutEncoder,0.4376
