column,importance
file,4941
http_user_agent,1292
http_x_forwarded_for,896
time,824
body_bytes_sent,507
http_referer,422
remote_addr,301
CatBoostEncoder.file,207
pno,204
request_time,154
Id,94
CatBoostEncoder.http_user_agent,57
time_day,53
CatBoostEncoder.time,52
CatBoostEncoder.http_referer.http_x_forwarded_for.pno,44
CatBoostEncoder.http_referer.http_x_forwarded_for,39
CatBoostEncoder.time_day,33
CatBoostEncoder.http_x_forwarded_for,32
CatBoostEncoder.http_referer,29
time_hour,27
CatBoostEncoder.Id,26
CatBoostEncoder.http_user_agent.pno,25
CatBoostEncoder.request_time,24
CatBoostEncoder.http_referer.pno,23
CatBoostEncoder.pno.Id,22
CatBoostEncoder.http_referer.http_user_agent.http_x_forwarded_for.pno,20
CatBoostEncoder.file.http_referer,20
CatBoostEncoder.http_referer.http_user_agent,18
CatBoostEncoder.file.http_referer.pno,17
CatBoostEncoder.file.http_referer.http_user_agent,15
CatBoostEncoder.file.http_referer.http_user_agent.http_x_forwarded_for,13
CatBoostEncoder.http_referer.http_user_agent.http_x_forwarded_for,12
CatBoostEncoder.http_referer.http_x_forwarded_for.pno.Id,11
CatBoostEncoder.pno,11
CatBoostEncoder.http_referer.http_user_agent.pno,8
CatBoostEncoder.http_user_agent.pno.Id,7
CatBoostEncoder.http_referer.Id,6
CatBoostEncoder.http_referer.http_x_forwarded_for.Id,6
CatBoostEncoder.http_referer.pno.Id,6
CatBoostEncoder.file.Id,5
CatBoostEncoder.file.http_referer.http_x_forwarded_for,4
CatBoostEncoder.http_x_forwarded_for.Id,3
CatBoostEncoder.file.http_referer.pno.Id,3
CatBoostEncoder.file.http_user_agent,3
CatBoostEncoder.file.http_referer.http_x_forwarded_for.pno,3
CatBoostEncoder.http_user_agent.http_x_forwarded_for,3
CatBoostEncoder.http_user_agent.http_x_forwarded_for.pno,3
CatBoostEncoder.file.http_referer.http_x_forwarded_for.pno.Id,3
CatBoostEncoder.file.http_user_agent.http_x_forwarded_for,3
CatBoostEncoder.http_x_forwarded_for.pno,2
CatBoostEncoder.http_referer.http_user_agent.pno.Id,2
CatBoostEncoder.http_user_agent.Id,2
CatBoostEncoder.http_x_forwarded_for.pno.Id,2
CatBoostEncoder.file.http_referer.Id,2
CatBoostEncoder.file.pno,2
CatBoostEncoder.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
CatBoostEncoder.file.http_referer.http_user_agent.http_x_forwarded_for.Id,2
CatBoostEncoder.file.pno.Id,2
CatBoostEncoder.http_referer.http_user_agent.http_x_forwarded_for.Id,2
CatBoostEncoder.file.http_referer.http_x_forwarded_for.Id,1
CatBoostEncoder.file.http_x_forwarded_for.pno,1
CatBoostEncoder.file.http_referer.http_user_agent.Id,1
time_second,1
CatBoostEncoder.body_bytes_sent,1
CatBoostEncoder.file.http_referer.http_user_agent.http_x_forwarded_for.pno,1
CatBoostEncoder.http_user_agent.http_x_forwarded_for.Id,1
CatBoostEncoder.http_user_agent.http_x_forwarded_for.pno.Id,1
CatBoostEncoder.file.http_user_agent.http_x_forwarded_for.pno,1
CatBoostEncoder.remote_addr.http_referer.http_user_agent.Id,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent.pno,0
CatBoostEncoder.remote_addr.http_referer.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent.pno.Id,0
CatBoostEncoder.remote_addr.http_referer.Id,0
CatBoostEncoder.remote_addr.http_referer.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.http_referer.http_x_forwarded_for.Id,0
CatBoostEncoder.http_referer.http_user_agent.Id,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,0
CatBoostEncoder.remote_addr.http_referer.pno.Id,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.http_referer.http_user_agent,0
CatBoostEncoder.remote_addr.http_referer,0
CatBoostEncoder.remote_addr.file.pno.Id,0
CatBoostEncoder.remote_addr.file.pno,0
CatBoostEncoder.remote_addr.http_referer.pno,0
CatBoostEncoder.remote_addr.http_user_agent.pno,0
CatBoostEncoder.remote_addr.http_user_agent,0
CatBoostEncoder.remote_addr.http_x_forwarded_for.pno,0
CatBoostEncoder.time_minute,0
CatBoostEncoder.time_hour,0
time_minute,0
CatBoostEncoder.remote_addr.pno.Id,0
CatBoostEncoder.remote_addr.pno,0
CatBoostEncoder.remote_addr.Id,0
CatBoostEncoder.remote_addr.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.http_x_forwarded_for.Id,0
CatBoostEncoder.remote_addr.http_user_agent.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.http_user_agent.pno.Id,0
CatBoostEncoder.remote_addr.file.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.http_user_agent.Id,0
CatBoostEncoder.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.http_user_agent.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.http_user_agent.http_x_forwarded_for.Id,0
CatBoostEncoder.remote_addr.file.Id,0
CatBoostEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.file.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.file.http_x_forwarded_for.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent,0
CatBoostEncoder.remote_addr.file.http_referer,0
CatBoostEncoder.remote_addr.file,0
CatBoostEncoder.remote_addr,0
CatBoostEncoder.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.file.http_referer.http_user_agent.pno,0
CatBoostEncoder.file.http_referer.http_user_agent.pno.Id,0
CatBoostEncoder.file.http_user_agent.http_x_forwarded_for.Id,0
CatBoostEncoder.file.http_user_agent.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.file.http_user_agent.Id,0
CatBoostEncoder.file.http_user_agent.pno,0
CatBoostEncoder.file.http_user_agent.pno.Id,0
CatBoostEncoder.file.http_x_forwarded_for,0
CatBoostEncoder.file.http_x_forwarded_for.Id,0
CatBoostEncoder.file.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent.Id,0
CatBoostEncoder.remote_addr.file.http_user_agent,0
CatBoostEncoder.remote_addr.file.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.file.http_user_agent.pno.Id,0
CatBoostEncoder.remote_addr.file.http_user_agent.pno,0
CatBoostEncoder.remote_addr.file.http_user_agent.Id,0
CatBoostEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
CatBoostEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for,0
CatBoostEncoder.remote_addr.file.http_referer.pno.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_user_agent.pno,0
CatBoostEncoder.remote_addr.file.http_referer.pno,0
CatBoostEncoder.remote_addr.file.http_referer.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
CatBoostEncoder.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
CatBoostEncoder.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
