column,importance
file,4627
http_user_agent,1213
http_x_forwarded_for,879
time,695
body_bytes_sent,426
http_referer,409
remote_addr,282
LeaveOneOutEncoder.file,200
pno,198
request_time,146
Id,95
LeaveOneOutEncoder.http_user_agent,62
LeaveOneOutEncoder.time,51
LeaveOneOutEncoder.http_referer.http_x_forwarded_for.pno,44
time_day,43
LeaveOneOutEncoder.http_referer.http_x_forwarded_for,39
LeaveOneOutEncoder.http_x_forwarded_for,31
LeaveOneOutEncoder.time_day,30
LeaveOneOutEncoder.http_referer,28
time_hour,27
LeaveOneOutEncoder.request_time,27
LeaveOneOutEncoder.file.http_referer,25
LeaveOneOutEncoder.http_user_agent.pno,25
LeaveOneOutEncoder.Id,24
LeaveOneOutEncoder.http_referer.pno,22
LeaveOneOutEncoder.pno.Id,21
LeaveOneOutEncoder.http_referer.http_user_agent.http_x_forwarded_for.pno,17
LeaveOneOutEncoder.http_referer.http_user_agent,16
LeaveOneOutEncoder.file.http_referer.http_user_agent.http_x_forwarded_for,15
LeaveOneOutEncoder.pno,11
LeaveOneOutEncoder.file.http_referer.pno,11
LeaveOneOutEncoder.http_referer.http_x_forwarded_for.pno.Id,10
LeaveOneOutEncoder.file.http_referer.http_user_agent,10
LeaveOneOutEncoder.http_user_agent.pno.Id,8
LeaveOneOutEncoder.http_referer.http_x_forwarded_for.Id,7
LeaveOneOutEncoder.http_referer.Id,7
LeaveOneOutEncoder.time_hour,6
LeaveOneOutEncoder.http_referer.http_user_agent.http_x_forwarded_for,6
LeaveOneOutEncoder.http_user_agent.http_x_forwarded_for.pno,5
LeaveOneOutEncoder.http_referer.http_user_agent.pno,5
LeaveOneOutEncoder.file.Id,5
LeaveOneOutEncoder.file.http_user_agent,4
LeaveOneOutEncoder.file.http_referer.Id,4
LeaveOneOutEncoder.file.pno,4
LeaveOneOutEncoder.http_referer.http_user_agent.Id,4
LeaveOneOutEncoder.file.http_referer.http_x_forwarded_for.pno,4
LeaveOneOutEncoder.file.http_user_agent.http_x_forwarded_for,3
LeaveOneOutEncoder.http_referer.pno.Id,3
LeaveOneOutEncoder.file.http_referer.http_user_agent.http_x_forwarded_for.Id,3
LeaveOneOutEncoder.file.http_referer.http_x_forwarded_for,3
LeaveOneOutEncoder.http_referer.http_user_agent.pno.Id,2
LeaveOneOutEncoder.http_user_agent.http_x_forwarded_for,2
LeaveOneOutEncoder.http_referer.http_user_agent.http_x_forwarded_for.Id,2
LeaveOneOutEncoder.file.pno.Id,2
LeaveOneOutEncoder.http_user_agent.http_x_forwarded_for.Id,2
LeaveOneOutEncoder.file.http_x_forwarded_for,2
LeaveOneOutEncoder.http_user_agent.http_x_forwarded_for.pno.Id,2
LeaveOneOutEncoder.file.http_referer.http_user_agent.Id,2
LeaveOneOutEncoder.http_x_forwarded_for.Id,2
LeaveOneOutEncoder.file.http_referer.http_x_forwarded_for.pno.Id,2
LeaveOneOutEncoder.http_x_forwarded_for.pno,2
LeaveOneOutEncoder.http_user_agent.Id,1
LeaveOneOutEncoder.http_x_forwarded_for.pno.Id,1
LeaveOneOutEncoder.file.http_x_forwarded_for.pno,1
time_second,1
LeaveOneOutEncoder.body_bytes_sent,1
LeaveOneOutEncoder.file.http_user_agent.http_x_forwarded_for.Id,1
LeaveOneOutEncoder.file.http_referer.pno.Id,1
LeaveOneOutEncoder.file.http_referer.http_user_agent.pno,1
LeaveOneOutEncoder.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.pno,0
LeaveOneOutEncoder.remote_addr.http_referer.pno,0
LeaveOneOutEncoder.remote_addr.http_referer.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.http_referer.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_user_agent,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.http_referer.http_user_agent,0
LeaveOneOutEncoder.remote_addr.http_referer,0
LeaveOneOutEncoder.remote_addr.file.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_referer.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_user_agent.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.http_user_agent.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.http_user_agent.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.time_minute,0
time_minute,0
LeaveOneOutEncoder.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.pno.Id,0
LeaveOneOutEncoder.remote_addr.pno,0
LeaveOneOutEncoder.remote_addr.Id,0
LeaveOneOutEncoder.remote_addr.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.remote_addr.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.http_user_agent.pno.Id,0
LeaveOneOutEncoder.remote_addr.http_user_agent.pno,0
LeaveOneOutEncoder.remote_addr.http_user_agent.Id,0
LeaveOneOutEncoder.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.Id,0
LeaveOneOutEncoder.remote_addr.file.pno,0
LeaveOneOutEncoder.remote_addr.file.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.remote_addr.file.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent,0
LeaveOneOutEncoder.remote_addr.file.http_referer,0
LeaveOneOutEncoder.remote_addr.file,0
LeaveOneOutEncoder.remote_addr,0
LeaveOneOutEncoder.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.file.http_referer.http_user_agent.pno.Id,0
LeaveOneOutEncoder.file.http_referer.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.file.http_user_agent.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.file.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.file.http_user_agent.Id,0
LeaveOneOutEncoder.file.http_user_agent.pno,0
LeaveOneOutEncoder.file.http_user_agent.pno.Id,0
LeaveOneOutEncoder.file.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.pno,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_user_agent.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.file.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.pno,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.Id,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_x_forwarded_for,0
LeaveOneOutEncoder.remote_addr.file.http_user_agent,0
LeaveOneOutEncoder.remote_addr.file.http_referer.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.pno,0
LeaveOneOutEncoder.remote_addr.file.http_referer.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
LeaveOneOutEncoder.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
LeaveOneOutEncoder.time_second,0
