column,importance
file,4079
http_user_agent,1319
time,918
http_x_forwarded_for,430
body_bytes_sent,428
pno,239
remote_addr,228
http_referer,219
request_time,192
Id,94
count.http_referer.http_user_agent.http_x_forwarded_for,84
count.http_referer.http_x_forwarded_for,73
count.file.http_user_agent.http_x_forwarded_for,60
count.request_time,56
count.remote_addr.file.http_user_agent,48
count.file,45
count.file.http_referer.http_user_agent.http_x_forwarded_for,45
count.file.pno,43
count.http_referer.http_x_forwarded_for.Id,39
count.http_referer.pno,36
count.http_referer.http_x_forwarded_for.pno,36
count.file.http_referer.pno,34
time_day,34
count.remote_addr.file.pno,34
count.remote_addr,33
count.http_x_forwarded_for,32
count.http_user_agent.http_x_forwarded_for,32
count.remote_addr.http_referer.http_user_agent,31
count.http_x_forwarded_for.Id,30
count.http_user_agent.Id,28
count.http_referer.http_user_agent,27
count.remote_addr.file.http_referer.http_user_agent,26
count.http_referer.http_user_agent.http_x_forwarded_for.pno,26
count.http_referer.http_user_agent.pno,25
count.file.http_referer.Id,25
count.file.Id,24
count.pno.Id,24
count.time,23
count.remote_addr.Id,22
count.remote_addr.http_referer.http_user_agent.pno,22
time_hour,22
count.http_referer.http_x_forwarded_for.pno.Id,21
count.Id,20
count.remote_addr.http_user_agent,20
count.remote_addr.http_referer,19
count.file.http_user_agent.pno,19
count.remote_addr.file,18
count.http_referer.http_user_agent.Id,18
count.file.http_referer.http_user_agent,17
count.file.pno.Id,16
count.remote_addr.pno,15
count.http_referer.http_user_agent.http_x_forwarded_for.Id,14
count.http_user_agent.http_x_forwarded_for.Id,14
count.remote_addr.http_referer.http_user_agent.pno.Id,12
count.http_x_forwarded_for.pno,12
count.file.http_user_agent,12
count.remote_addr.http_user_agent.pno,12
count.remote_addr.file.http_referer.pno,12
count.http_referer.pno.Id,12
count.file.http_x_forwarded_for,12
count.file.http_referer.http_user_agent.http_x_forwarded_for.Id,10
count.http_referer.Id,10
count.time_day,10
count.file.http_x_forwarded_for.pno,9
count.remote_addr.http_referer.pno,9
count.remote_addr.http_referer.Id,9
count.remote_addr.http_user_agent.pno.Id,9
count.file.http_referer,8
