column,importance
file,7685
body_bytes_sent,2912
http_user_agent,2749
time,2337
http_x_forwarded_for,1128
remote_addr,590
http_referer,322
pno,279
request_time,232
Id,105
countday.http_referer.http_x_forwarded_for,91
countday.http_referer.http_user_agent.http_x_forwarded_for,79
countday.file,72
countday.file.http_user_agent.http_x_forwarded_for,69
countday.http_referer.http_user_agent,64
countday.Id,60
countday.remote_addr.file.http_referer.http_user_agent,59
countday.remote_addr,58
countday.file.http_referer.pno,56
countday.file.http_referer.http_user_agent.http_x_forwarded_for,55
countday.http_x_forwarded_for.Id,44
countday.http_referer.http_x_forwarded_for.pno,42
countday.remote_addr.http_referer.http_user_agent.pno,41
countday.pno,38
countday.file.http_referer.http_user_agent,37
countday.remote_addr.pno,35
countday.remote_addr.http_referer.http_user_agent,35
countday.file.http_referer,34
countday.remote_addr.file.http_user_agent,33
countday.http_referer.http_user_agent.pno,32
time_second,30
countday.file.http_user_agent,30
countday.http_user_agent.Id,28
countday.http_referer.pno,26
countday.remote_addr.file.pno,26
countday.remote_addr.file.http_referer.Id,25
countday.remote_addr.Id,25
countday.http_user_agent.http_x_forwarded_for,22
countday.pno.Id,20
countday.http_referer,20
countday.http_user_agent.http_x_forwarded_for.Id,20
countday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,20
countday.http_x_forwarded_for,20
countday.file.http_referer.Id,19
countday.http_referer.http_user_agent.http_x_forwarded_for.pno,19
countday.file.http_referer.http_x_forwarded_for,18
countday.http_referer.http_user_agent.http_x_forwarded_for.Id,17
countday.file.http_referer.http_x_forwarded_for.pno,17
countday.file.http_referer.pno.Id,17
countday.file.Id,16
countday.http_referer.http_x_forwarded_for.Id,16
countday.remote_addr.http_referer.pno,15
countday.remote_addr.file,15
countday.http_referer.pno.Id,14
countday.remote_addr.http_user_agent.http_x_forwarded_for.Id,13
countday.remote_addr.http_user_agent.http_x_forwarded_for,13
countday.file.http_x_forwarded_for.pno,13
countday.remote_addr.http_referer,13
countday.remote_addr.http_user_agent.pno,13
countday.http_user_agent.http_x_forwarded_for.pno,13
countday.file.pno.Id,12
countday.file.pno,12
time_hour,12
countday.http_referer.http_user_agent.Id,11
countday.file.http_referer.http_user_agent.http_x_forwarded_for.Id,11
countday.http_x_forwarded_for.pno,11
countday.remote_addr.http_user_agent.pno.Id,10
countday.remote_addr.file.http_referer.http_user_agent.Id,10
countday.remote_addr.file.http_user_agent.Id,10
countday.remote_addr.pno.Id,10
countday.remote_addr.http_referer.http_x_forwarded_for.pno,9
time_minute,9
time_day,8
countday.file.http_x_forwarded_for.Id,8
countday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,8
countday.http_referer.http_user_agent.pno.Id,8
countday.remote_addr.http_user_agent,8
countday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,8
countday.http_referer.Id,7
countday.remote_addr.http_referer.http_user_agent.pno.Id,6
countday.http_referer.http_x_forwarded_for.pno.Id,6
countday.file.http_user_agent.pno,6
countday.remote_addr.file.http_referer.http_user_agent.pno,6
countday.file.http_referer.http_user_agent.pno,6
