column,importance
file,8217
body_bytes_sent,3468
http_user_agent,3020
time,2582
http_x_forwarded_for,1312
remote_addr,700
http_referer,324
pno,280
request_time,189
counthour.request_time,131
counthour.http_referer.http_x_forwarded_for,102
Id,98
counthour.http_referer.http_user_agent.http_x_forwarded_for,95
counthour.http_referer.http_user_agent,75
counthour.file,68
counthour.remote_addr,67
counthour.file.http_user_agent.http_x_forwarded_for,63
counthour.remote_addr.file.http_referer.http_user_agent,62
counthour.Id,53
time_second,49
counthour.http_referer.http_user_agent.pno,46
counthour.remote_addr.http_referer.http_user_agent.pno,42
counthour.file.http_referer.http_user_agent.http_x_forwarded_for,41
counthour.http_referer.http_x_forwarded_for.pno,41
counthour.file.http_referer.pno,40
counthour.remote_addr.file.http_user_agent,38
counthour.http_referer.pno,36
counthour.remote_addr.pno,36
counthour.pno,35
counthour.file.http_referer.http_user_agent,35
counthour.file.http_referer,33
counthour.http_x_forwarded_for.Id,33
counthour.file.http_user_agent,31
counthour.file.http_referer.pno.Id,29
counthour.http_user_agent.http_x_forwarded_for,27
counthour.remote_addr.http_referer.http_user_agent,25
counthour.http_user_agent.Id,24
counthour.http_referer,24
counthour.http_x_forwarded_for,24
counthour.remote_addr.file,23
counthour.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,23
counthour.remote_addr.file.pno,22
counthour.file.pno,22
counthour.http_referer.http_x_forwarded_for.Id,21
counthour.pno.Id,21
counthour.http_referer.http_user_agent.http_x_forwarded_for.Id,20
counthour.file.http_referer.Id,19
counthour.remote_addr.http_user_agent.http_x_forwarded_for.Id,19
counthour.remote_addr.file.http_referer.http_user_agent.Id,18
counthour.remote_addr.Id,17
counthour.http_user_agent.http_x_forwarded_for.Id,17
counthour.http_referer.http_user_agent.http_x_forwarded_for.pno,16
counthour.file.http_referer.http_x_forwarded_for.pno,16
counthour.remote_addr.http_referer,15
counthour.file.Id,15
counthour.remote_addr.pno.Id,15
counthour.file.http_user_agent.http_x_forwarded_for.Id,15
counthour.file.http_referer.http_x_forwarded_for,14
