column,importance
file,8020
body_bytes_sent,3615
http_user_agent,2833
time,2530
http_x_forwarded_for,1610
remote_addr,785
http_referer,355
pno,230
request_time,195
time_second,126
Id,104
countminute.request_time,99
countminute.http_referer.http_user_agent,73
countminute.http_referer.http_user_agent.http_x_forwarded_for,72
countminute.file,65
countminute.remote_addr,64
countminute.remote_addr.file.http_referer.http_user_agent,62
countminute.http_referer.http_x_forwarded_for,61
countminute.Id,55
countminute.http_x_forwarded_for,51
countminute.remote_addr.pno,48
countminute.file.http_referer.pno,45
countminute.file.pno,41
countminute.http_x_forwarded_for.Id,40
countminute.http_user_agent.http_x_forwarded_for,36
countminute.file.http_user_agent.http_x_forwarded_for,36
countminute.file.http_referer.http_user_agent,35
countminute.http_user_agent,34
countminute.http_referer.http_x_forwarded_for.pno,33
countminute.remote_addr.Id,29
countminute.file.http_referer.Id,29
countminute.file.http_referer.http_user_agent.http_x_forwarded_for,29
countminute.http_referer,28
countminute.remote_addr.file,28
countminute.http_referer.pno,25
countminute.file.http_referer.pno.Id,23
countminute.remote_addr.http_referer.http_user_agent.pno,22
countminute.file.http_referer,22
countminute.file.http_user_agent,22
countminute.pno,19
countminute.http_user_agent.Id,18
countminute.http_referer.http_user_agent.Id,18
countminute.remote_addr.http_referer.http_user_agent,18
countminute.http_x_forwarded_for.pno,17
countminute.http_referer.http_user_agent.http_x_forwarded_for.Id,15
countminute.http_referer.http_user_agent.pno,15
countminute.http_referer.http_user_agent.http_x_forwarded_for.pno,15
countminute.file.pno.Id,15
countminute.remote_addr.pno.Id,15
countminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,14
countminute.pno.Id,14
countminute.body_bytes_sent,13
countminute.file.http_referer.http_user_agent.pno,13
countminute.file.http_x_forwarded_for.Id,13
countminute.remote_addr.file.pno,13
countminute.remote_addr.file.http_referer.http_user_agent.Id,13
countminute.http_referer.Id,13
countminute.file.Id,11
countminute.http_user_agent.http_x_forwarded_for.pno,11
countminute.remote_addr.http_user_agent,11
countminute.remote_addr.http_user_agent.pno,11
countminute.http_user_agent.http_x_forwarded_for.Id,11
countminute.remote_addr.file.http_user_agent,10
countminute.http_referer.http_x_forwarded_for.pno.Id,9
countminute.http_user_agent.pno,9
countminute.remote_addr.http_x_forwarded_for,8
countminute.file.http_user_agent.pno,8
countminute.remote_addr.file.Id,7
countminute.file.http_referer.http_user_agent.Id,6
countminute.file.http_x_forwarded_for,6
countminute.http_referer.http_x_forwarded_for.Id,6
countminute.file.http_user_agent.http_x_forwarded_for.Id,6
countminute.file.http_x_forwarded_for.pno,6
countminute.remote_addr.http_user_agent.http_x_forwarded_for,6
countminute.remote_addr.http_referer.pno,5
countminute.remote_addr.http_referer.http_x_forwarded_for,5
countminute.remote_addr.http_user_agent.http_x_forwarded_for.Id,5
time_day,5
countminute.file.http_referer.http_x_forwarded_for.pno,5
time_hour,4
countminute.file.http_referer.http_x_forwarded_for,4
countminute.remote_addr.file.http_referer,4
countminute.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,4
countminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,4
countminute.remote_addr.http_referer,4
countminute.remote_addr.file.http_referer.pno,4
countminute.remote_addr.file.http_referer.http_user_agent.pno,4
countminute.http_user_agent.http_x_forwarded_for.pno.Id,4
countminute.remote_addr.http_referer.Id,4
countminute.http_referer.pno.Id,3
countminute.http_referer.http_user_agent.pno.Id,3
countminute.file.http_referer.http_user_agent.http_x_forwarded_for.pno,3
countminute.file.http_user_agent.Id,3
countminute.http_user_agent.pno.Id,3
countminute.file.http_referer.http_user_agent.pno.Id,3
countminute.remote_addr.http_referer.pno.Id,2
countminute.remote_addr.http_referer.http_x_forwarded_for.Id,2
countminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,2
countminute.remote_addr.file.http_user_agent.Id,2
countminute.remote_addr.http_referer.http_user_agent.Id,2
countminute.remote_addr.http_x_forwarded_for.Id,2
countminute.remote_addr.http_user_agent.http_x_forwarded_for.pno,2
countminute.file.http_user_agent.http_x_forwarded_for.pno,2
countminute.http_x_forwarded_for.pno.Id,2
countminute.remote_addr.file.http_referer.http_user_agent.pno.Id,2
countminute.remote_addr.http_x_forwarded_for.pno,2
