column,importance
file,4547
http_user_agent,1177
http_x_forwarded_for,1000
time,722
body_bytes_sent,462
http_referer,355
remote_addr,240
pno,183
request_time,124
Id,102
countsecond.http_referer.http_x_forwarded_for,62
countsecond.request_time,57
countsecond.Id,37
countsecond.file.pno,35
countsecond.remote_addr.file.http_referer.http_user_agent,31
countsecond.http_x_forwarded_for,25
countsecond.http_user_agent,24
countsecond.http_referer.http_user_agent.http_x_forwarded_for,23
countsecond.http_x_forwarded_for.Id,22
countsecond.remote_addr.http_referer.http_user_agent,21
countsecond.file,17
countsecond.pno,16
countsecond.file.http_referer.http_user_agent.http_x_forwarded_for,15
countsecond.remote_addr,15
countsecond.http_user_agent.Id,15
countsecond.remote_addr.http_referer.http_user_agent.pno,15
countsecond.http_referer.http_x_forwarded_for.Id,15
countsecond.http_user_agent.http_x_forwarded_for.pno,14
countsecond.http_referer.pno,13
countsecond.file.http_referer.pno,13
time_day,12
countsecond.http_referer.http_user_agent.pno,12
countsecond.pno.Id,12
countsecond.file.http_user_agent.http_x_forwarded_for,11
countsecond.http_referer.http_user_agent,11
countsecond.file.pno.Id,10
countsecond.file.http_referer,10
countsecond.file.http_referer.http_user_agent.pno,9
countsecond.http_referer.http_x_forwarded_for.pno,8
time_hour,8
countsecond.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,8
countsecond.http_referer,8
countsecond.file.http_referer.http_user_agent,7
countsecond.http_user_agent.http_x_forwarded_for,7
countsecond.file.http_referer.pno.Id,7
countsecond.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,6
countsecond.remote_addr.Id,6
countsecond.http_user_agent.http_x_forwarded_for.pno.Id,6
countsecond.remote_addr.pno,6
countsecond.http_referer.http_user_agent.http_x_forwarded_for.Id,5
countsecond.remote_addr.file.pno,5
countsecond.remote_addr.http_x_forwarded_for.pno,5
countsecond.http_referer.http_user_agent.http_x_forwarded_for.pno,4
countsecond.file.http_user_agent.pno,4
countsecond.remote_addr.file.http_referer.http_user_agent.Id,4
countsecond.remote_addr.http_referer.http_user_agent.pno.Id,4
countsecond.http_referer.http_x_forwarded_for.pno.Id,4
countsecond.remote_addr.http_user_agent.http_x_forwarded_for.pno,3
countsecond.file.http_referer.http_user_agent.Id,3
countsecond.remote_addr.http_referer.Id,3
countsecond.http_user_agent.pno,3
countsecond.http_referer.pno.Id,3
countsecond.remote_addr.http_referer.http_user_agent.Id,3
countsecond.file.Id,3
countsecond.file.http_user_agent,3
countsecond.remote_addr.file.http_user_agent,2
countsecond.remote_addr.file.http_referer.pno.Id,2
countsecond.file.http_user_agent.http_x_forwarded_for.Id,2
countsecond.remote_addr.file.http_referer.http_user_agent.pno,2
countsecond.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
countsecond.remote_addr.pno.Id,2
countsecond.file.http_referer.http_user_agent.http_x_forwarded_for.Id,2
countsecond.remote_addr.http_referer,2
time_second,2
countsecond.http_user_agent.pno.Id,2
countsecond.http_referer.Id,2
countsecond.http_referer.http_user_agent.pno.Id,2
countsecond.file.http_referer.Id,2
countsecond.file.http_referer.http_user_agent.pno.Id,1
countsecond.http_x_forwarded_for.pno.Id,1
countsecond.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,1
countsecond.remote_addr.file.http_user_agent.Id,1
countsecond.remote_addr.http_user_agent.Id,1
countsecond.file.http_x_forwarded_for.pno,1
countsecond.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,1
countsecond.file.http_user_agent.Id,1
countsecond.remote_addr.http_user_agent,1
countsecond.file.http_user_agent.pno.Id,1
countsecond.http_referer.http_user_agent.Id,1
countsecond.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,1
countsecond.http_x_forwarded_for.pno,1
countsecond.remote_addr.file.http_user_agent.pno,1
countsecond.remote_addr.http_x_forwarded_for,0
countsecond.remote_addr.file.pno.Id,0
countsecond.remote_addr.http_x_forwarded_for.Id,0
countsecond.remote_addr.http_referer.http_x_forwarded_for.Id,0
countsecond.remote_addr.http_user_agent.pno.Id,0
countsecond.body_bytes_sent,0
countsecond.remote_addr.http_user_agent.pno,0
countsecond.remote_addr.http_referer.http_x_forwarded_for,0
countsecond.remote_addr.http_referer.http_x_forwarded_for.pno,0
countsecond.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
countsecond.remote_addr.file.Id,0
countsecond.remote_addr.http_referer.pno,0
countsecond.remote_addr.http_referer.pno.Id,0
countsecond.remote_addr.http_user_agent.http_x_forwarded_for,0
countsecond.remote_addr.http_x_forwarded_for.pno.Id,0
countsecond.remote_addr.http_user_agent.http_x_forwarded_for.Id,0
countsecond.remote_addr.file.http_referer.http_user_agent.pno.Id,0
countsecond.remote_addr.file.http_x_forwarded_for.pno.Id,0
countsecond.file.http_referer.http_x_forwarded_for.Id,0
countsecond.remote_addr.file.http_referer,0
countsecond.remote_addr.file,0
countsecond.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
countsecond.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
countsecond.file.http_referer.http_x_forwarded_for,0
countsecond.http_user_agent.http_x_forwarded_for.Id,0
countsecond.file.http_referer.http_x_forwarded_for.pno,0
countsecond.remote_addr.file.http_x_forwarded_for.pno,0
countsecond.file.http_referer.http_x_forwarded_for.pno.Id,0
countsecond.file.http_x_forwarded_for.pno.Id,0
countsecond.file.http_x_forwarded_for.Id,0
countsecond.file.http_x_forwarded_for,0
countsecond.file.http_user_agent.http_x_forwarded_for.pno.Id,0
countsecond.file.http_user_agent.http_x_forwarded_for.pno,0
countsecond.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
countsecond.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
countsecond.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
countsecond.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
countsecond.remote_addr.file.http_referer.http_x_forwarded_for,0
countsecond.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
countsecond.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
countsecond.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
countsecond.remote_addr.file.http_referer.Id,0
countsecond.remote_addr.file.http_referer.pno,0
countsecond.remote_addr.file.http_user_agent.http_x_forwarded_for,0
countsecond.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
countsecond.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
countsecond.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
countsecond.remote_addr.file.http_user_agent.pno.Id,0
countsecond.remote_addr.file.http_x_forwarded_for,0
countsecond.remote_addr.file.http_x_forwarded_for.Id,0
time_minute,0
