column,importance
file,6176
http_user_agent,1917
time,1481
body_bytes_sent,1476
http_x_forwarded_for,1069
remote_addr,400
http_referer,335
pno,258
request_time,151
Id,100
cumcount.http_referer.http_x_forwarded_for,77
cumcount.request_time,60
cumcount.file.http_referer.http_user_agent.http_x_forwarded_for,56
cumcount.file.http_referer.pno,53
cumcount.file,44
cumcount.http_user_agent.http_x_forwarded_for,44
cumcount.remote_addr.file.http_user_agent,42
cumcount.remote_addr,42
time_day,42
cumcount.file.pno,41
cumcount.http_x_forwarded_for,37
cumcount.remote_addr.http_referer.http_user_agent.pno,37
cumcount.Id,35
cumcount.remote_addr.http_referer.http_user_agent,34
time_minute,33
cumcount.http_referer.http_user_agent.http_x_forwarded_for,32
cumcount.remote_addr.file.http_referer.http_user_agent,31
cumcount.file.http_referer,29
cumcount.http_user_agent.http_x_forwarded_for.Id,28
cumcount.file.http_referer.pno.Id,27
cumcount.remote_addr.http_user_agent,27
cumcount.http_user_agent.Id,27
cumcount.http_referer,26
cumcount.file.pno.Id,25
cumcount.remote_addr.Id,25
cumcount.http_referer.http_x_forwarded_for.pno.Id,25
cumcount.file.http_referer.Id,24
cumcount.http_referer.http_x_forwarded_for.pno,23
cumcount.remote_addr.http_user_agent.pno,23
cumcount.http_referer.Id,22
cumcount.http_referer.http_x_forwarded_for.Id,22
cumcount.http_referer.http_user_agent.pno,22
cumcount.remote_addr.file,20
cumcount.file.http_user_agent.http_x_forwarded_for,20
cumcount.file.http_referer.http_user_agent,19
cumcount.pno.Id,19
cumcount.remote_addr.http_referer.pno,18
time_hour,18
cumcount.remote_addr.pno.Id,18
cumcount.http_user_agent.pno.Id,17
cumcount.remote_addr.http_referer.Id,17
cumcount.remote_addr.http_user_agent.Id,17
cumcount.http_user_agent,17
time_second,14
cumcount.http_referer.http_user_agent,14
cumcount.http_referer.pno.Id,14
cumcount.http_user_agent.pno,13
cumcount.remote_addr.pno,13
cumcount.remote_addr.file.pno,11
cumcount.file.http_referer.http_x_forwarded_for,11
cumcount.http_referer.http_user_agent.http_x_forwarded_for.pno,11
cumcount.remote_addr.http_referer.http_x_forwarded_for.pno,10
cumcount.file.Id,10
cumcount.http_x_forwarded_for.Id,10
cumcount.file.http_referer.http_user_agent.http_x_forwarded_for.Id,9
cumcount.remote_addr.http_referer.pno.Id,8
cumcount.file.http_referer.http_user_agent.http_x_forwarded_for.pno,7
cumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,7
cumcount.http_referer.http_user_agent.http_x_forwarded_for.Id,7
cumcount.file.http_referer.http_user_agent.pno,7
cumcount.remote_addr.http_referer,7
cumcount.http_x_forwarded_for.pno,6
cumcount.file.http_user_agent.http_x_forwarded_for.pno,6
cumcount.http_referer.http_user_agent.pno.Id,6
cumcount.remote_addr.http_user_agent.pno.Id,6
cumcount.file.http_user_agent,6
cumcount.http_x_forwarded_for.pno.Id,5
cumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,5
cumcount.http_referer.pno,5
cumcount.remote_addr.http_user_agent.http_x_forwarded_for,5
cumcount.file.http_user_agent.http_x_forwarded_for.Id,5
cumcount.file.http_referer.http_user_agent.Id,4
cumcount.pno,4
cumcount.remote_addr.file.Id,4
cumcount.remote_addr.file.http_referer.http_user_agent.Id,4
cumcount.remote_addr.file.http_referer.pno,4
cumcount.remote_addr.http_referer.http_user_agent.Id,4
cumcount.file.http_referer.http_x_forwarded_for.pno,4
cumcount.body_bytes_sent,4
cumcount.file.http_x_forwarded_for,3
cumcount.remote_addr.http_referer.http_user_agent.pno.Id,3
cumcount.remote_addr.http_user_agent.http_x_forwarded_for.Id,3
cumcount.remote_addr.http_referer.http_x_forwarded_for,3
cumcount.file.http_user_agent.Id,3
cumcount.remote_addr.file.http_referer.http_user_agent.pno,3
cumcount.file.http_referer.http_x_forwarded_for.Id,3
cumcount.file.http_x_forwarded_for.Id,3
cumcount.file.http_x_forwarded_for.pno,3
cumcount.remote_addr.http_x_forwarded_for,3
cumcount.remote_addr.http_user_agent.http_x_forwarded_for.pno,2
cumcount.remote_addr.file.http_user_agent.pno,2
cumcount.remote_addr.file.http_user_agent.Id,2
cumcount.http_user_agent.http_x_forwarded_for.pno,2
cumcount.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
cumcount.remote_addr.file.http_referer,2
cumcount.remote_addr.file.http_referer.http_x_forwarded_for.Id,1
cumcount.file.http_x_forwarded_for.pno.Id,1
cumcount.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,1
cumcount.remote_addr.file.http_referer.Id,1
cumcount.file.http_user_agent.pno,1
cumcount.remote_addr.file.http_referer.http_x_forwarded_for,1
cumcount.remote_addr.file.pno.Id,1
cumcount.remote_addr.http_x_forwarded_for.Id,1
cumcount.file.http_referer.http_x_forwarded_for.pno.Id,1
cumcount.http_referer.http_user_agent.Id,1
cumcount.file.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.http_x_forwarded_for.pno,0
cumcount.remote_addr.http_x_forwarded_for.pno.Id,0
cumcount.file.http_referer.http_user_agent.pno.Id,0
cumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
cumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
cumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.file.http_referer.http_user_agent.pno.Id,0
cumcount.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
cumcount.remote_addr.file.http_x_forwarded_for,0
cumcount.remote_addr.file.http_x_forwarded_for.Id,0
cumcount.remote_addr.file.http_x_forwarded_for.pno,0
cumcount.remote_addr.file.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
cumcount.file.http_user_agent.pno.Id,0
cumcount.remote_addr.file.http_user_agent.http_x_forwarded_for,0
cumcount.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.file.http_referer.pno.Id,0
cumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
cumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcount.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
