column,importance
file,5155
http_user_agent,1481
time,1066
http_x_forwarded_for,944
body_bytes_sent,854
remote_addr,308
http_referer,291
pno,257
request_time,139
Id,101
time_day,71
cumcountday.remote_addr.http_referer.http_user_agent.pno,62
cumcountday.http_referer.http_x_forwarded_for,59
cumcountday.request_time,59
cumcountday.file.pno,50
cumcountday.file.http_user_agent.http_x_forwarded_for,48
cumcountday.remote_addr.file.http_user_agent,38
cumcountday.http_referer.http_user_agent.http_x_forwarded_for,37
cumcountday.remote_addr.file.http_referer.http_user_agent,37
cumcountday.file,33
cumcountday.remote_addr,32
cumcountday.http_referer.http_user_agent,31
cumcountday.file.http_referer.http_user_agent.http_x_forwarded_for,30
cumcountday.http_user_agent.http_x_forwarded_for.Id,29
cumcountday.http_referer.http_x_forwarded_for.pno,29
cumcountday.http_referer.http_user_agent.pno,28
time_hour,28
cumcountday.http_referer.http_x_forwarded_for.pno.Id,26
cumcountday.remote_addr.http_referer.http_user_agent,26
cumcountday.http_user_agent.http_x_forwarded_for,25
cumcountday.remote_addr.file,25
cumcountday.http_referer.Id,24
cumcountday.remote_addr.pno,22
cumcountday.file.http_referer.pno,21
cumcountday.http_user_agent,21
cumcountday.http_user_agent.pno,21
cumcountday.remote_addr.http_user_agent.http_x_forwarded_for,20
cumcountday.http_referer,19
cumcountday.Id,18
cumcountday.remote_addr.http_referer.pno,17
cumcountday.remote_addr.Id,16
time_minute,16
cumcountday.remote_addr.http_user_agent.pno,15
cumcountday.http_user_agent.Id,15
cumcountday.file.http_referer.http_user_agent.http_x_forwarded_for.Id,14
cumcountday.file.pno.Id,13
cumcountday.http_referer.http_x_forwarded_for.Id,13
cumcountday.remote_addr.http_user_agent.Id,13
cumcountday.file.http_user_agent,12
cumcountday.remote_addr.http_referer.http_user_agent.pno.Id,12
cumcountday.file.Id,12
cumcountday.remote_addr.http_user_agent,12
cumcountday.file.http_referer.Id,12
cumcountday.remote_addr.file.pno,12
cumcountday.http_referer.http_user_agent.http_x_forwarded_for.pno,11
cumcountday.remote_addr.http_referer,11
cumcountday.file.http_referer.http_user_agent,11
cumcountday.file.http_referer.http_user_agent.pno,10
cumcountday.remote_addr.http_referer.http_x_forwarded_for,10
cumcountday.http_referer.pno,10
cumcountday.file.http_referer,10
cumcountday.http_x_forwarded_for,9
cumcountday.http_referer.http_user_agent.http_x_forwarded_for.Id,8
cumcountday.pno.Id,8
cumcountday.remote_addr.pno.Id,7
cumcountday.remote_addr.http_referer.http_user_agent.Id,7
cumcountday.http_referer.http_user_agent.Id,7
cumcountday.remote_addr.http_referer.Id,7
cumcountday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,7
cumcountday.http_referer.pno.Id,6
cumcountday.file.http_referer.http_x_forwarded_for,6
cumcountday.file.http_user_agent.pno,6
cumcountday.remote_addr.http_referer.http_x_forwarded_for.pno,6
cumcountday.remote_addr.file.http_referer,6
cumcountday.remote_addr.http_referer.http_x_forwarded_for.Id,6
cumcountday.file.http_referer.pno.Id,5
cumcountday.file.http_x_forwarded_for.Id,5
cumcountday.file.http_referer.http_user_agent.Id,4
cumcountday.file.http_user_agent.http_x_forwarded_for.Id,4
cumcountday.http_x_forwarded_for.Id,4
cumcountday.http_user_agent.http_x_forwarded_for.pno,4
cumcountday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,4
cumcountday.remote_addr.http_user_agent.http_x_forwarded_for.Id,4
cumcountday.http_x_forwarded_for.pno.Id,3
cumcountday.file.http_user_agent.Id,3
cumcountday.file.http_referer.http_x_forwarded_for.Id,3
cumcountday.file.http_referer.http_user_agent.pno.Id,3
cumcountday.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,3
cumcountday.http_x_forwarded_for.pno,3
cumcountday.file.http_x_forwarded_for,3
cumcountday.file.http_user_agent.pno.Id,3
cumcountday.remote_addr.file.http_referer.http_user_agent.Id,3
cumcountday.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
cumcountday.remote_addr.file.http_referer.http_user_agent.pno,2
cumcountday.http_referer.http_user_agent.pno.Id,2
cumcountday.file.http_user_agent.http_x_forwarded_for.pno,2
cumcountday.file.http_referer.http_user_agent.http_x_forwarded_for.pno,2
cumcountday.remote_addr.http_referer.pno.Id,2
cumcountday.remote_addr.http_user_agent.pno.Id,2
cumcountday.http_user_agent.pno.Id,2
cumcountday.remote_addr.file.http_referer.pno.Id,2
cumcountday.pno,1
cumcountday.file.http_referer.http_x_forwarded_for.pno,1
cumcountday.file.http_referer.http_x_forwarded_for.pno.Id,1
cumcountday.remote_addr.file.http_referer.http_x_forwarded_for.Id,1
cumcountday.remote_addr.file.http_referer.http_x_forwarded_for.pno,1
cumcountday.file.http_x_forwarded_for.pno.Id,1
cumcountday.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,1
cumcountday.http_user_agent.http_x_forwarded_for.pno.Id,1
cumcountday.remote_addr.file.http_referer.pno,1
cumcountday.remote_addr.file.pno.Id,1
cumcountday.remote_addr.file.Id,1
cumcountday.remote_addr.file.http_referer.http_x_forwarded_for,1
cumcountday.remote_addr.file.http_user_agent.Id,1
cumcountday.remote_addr.http_x_forwarded_for,0
cumcountday.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountday.remote_addr.http_x_forwarded_for.Id,0
cumcountday.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
cumcountday.remote_addr.http_x_forwarded_for.pno.Id,0
cumcountday.remote_addr.http_user_agent.http_x_forwarded_for.pno,0
cumcountday.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountday.remote_addr.http_x_forwarded_for.pno,0
cumcountday.remote_addr.file.http_user_agent.pno,0
cumcountday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountday.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
cumcountday.file.http_x_forwarded_for.pno,0
cumcountday.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
cumcountday.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
cumcountday.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountday.remote_addr.file.http_referer.http_user_agent.pno.Id,0
cumcountday.remote_addr.file.http_referer.Id,0
cumcountday.remote_addr.file.http_user_agent.http_x_forwarded_for,0
cumcountday.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
cumcountday.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
cumcountday.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
time_second,0
cumcountday.remote_addr.file.http_user_agent.pno.Id,0
cumcountday.remote_addr.file.http_x_forwarded_for,0
cumcountday.remote_addr.file.http_x_forwarded_for.Id,0
cumcountday.remote_addr.file.http_x_forwarded_for.pno,0
cumcountday.remote_addr.file.http_x_forwarded_for.pno.Id,0
cumcountday.file.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountday.body_bytes_sent,0
