column,importance
file,5155
http_user_agent,1481
time,1066
http_x_forwarded_for,944
body_bytes_sent,854
remote_addr,308
http_referer,291
pno,257
request_time,139
Id,101
time_day,71
cumcounthour.remote_addr.http_referer.http_user_agent.pno,62
cumcounthour.http_referer.http_x_forwarded_for,59
cumcounthour.request_time,59
cumcounthour.file.pno,50
cumcounthour.file.http_user_agent.http_x_forwarded_for,48
cumcounthour.remote_addr.file.http_user_agent,38
cumcounthour.http_referer.http_user_agent.http_x_forwarded_for,37
cumcounthour.remote_addr.file.http_referer.http_user_agent,37
cumcounthour.file,33
cumcounthour.remote_addr,32
cumcounthour.http_referer.http_user_agent,31
cumcounthour.file.http_referer.http_user_agent.http_x_forwarded_for,30
cumcounthour.http_user_agent.http_x_forwarded_for.Id,29
cumcounthour.http_referer.http_x_forwarded_for.pno,29
cumcounthour.http_referer.http_user_agent.pno,28
time_hour,28
cumcounthour.http_referer.http_x_forwarded_for.pno.Id,26
cumcounthour.remote_addr.http_referer.http_user_agent,26
cumcounthour.http_user_agent.http_x_forwarded_for,25
cumcounthour.remote_addr.file,25
cumcounthour.http_referer.Id,24
cumcounthour.remote_addr.pno,22
cumcounthour.file.http_referer.pno,21
cumcounthour.http_user_agent,21
cumcounthour.http_user_agent.pno,21
cumcounthour.remote_addr.http_user_agent.http_x_forwarded_for,20
cumcounthour.http_referer,19
cumcounthour.Id,18
cumcounthour.remote_addr.http_referer.pno,17
cumcounthour.remote_addr.Id,16
time_minute,16
cumcounthour.remote_addr.http_user_agent.pno,15
cumcounthour.http_user_agent.Id,15
cumcounthour.file.http_referer.http_user_agent.http_x_forwarded_for.Id,14
cumcounthour.file.pno.Id,13
cumcounthour.http_referer.http_x_forwarded_for.Id,13
cumcounthour.remote_addr.http_user_agent.Id,13
cumcounthour.file.http_user_agent,12
cumcounthour.remote_addr.http_referer.http_user_agent.pno.Id,12
cumcounthour.file.Id,12
cumcounthour.remote_addr.http_user_agent,12
cumcounthour.file.http_referer.Id,12
cumcounthour.remote_addr.file.pno,12
cumcounthour.http_referer.http_user_agent.http_x_forwarded_for.pno,11
cumcounthour.remote_addr.http_referer,11
cumcounthour.file.http_referer.http_user_agent,11
cumcounthour.file.http_referer.http_user_agent.pno,10
cumcounthour.remote_addr.http_referer.http_x_forwarded_for,10
cumcounthour.http_referer.pno,10
cumcounthour.file.http_referer,10
cumcounthour.http_x_forwarded_for,9
cumcounthour.http_referer.http_user_agent.http_x_forwarded_for.Id,8
cumcounthour.pno.Id,8
cumcounthour.remote_addr.pno.Id,7
cumcounthour.remote_addr.http_referer.http_user_agent.Id,7
cumcounthour.http_referer.http_user_agent.Id,7
cumcounthour.remote_addr.http_referer.Id,7
cumcounthour.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,7
cumcounthour.http_referer.pno.Id,6
cumcounthour.file.http_referer.http_x_forwarded_for,6
cumcounthour.file.http_user_agent.pno,6
cumcounthour.remote_addr.http_referer.http_x_forwarded_for.pno,6
cumcounthour.remote_addr.file.http_referer,6
cumcounthour.remote_addr.http_referer.http_x_forwarded_for.Id,6
cumcounthour.file.http_referer.pno.Id,5
cumcounthour.file.http_x_forwarded_for.Id,5
cumcounthour.file.http_referer.http_user_agent.Id,4
cumcounthour.file.http_user_agent.http_x_forwarded_for.Id,4
cumcounthour.http_x_forwarded_for.Id,4
cumcounthour.http_user_agent.http_x_forwarded_for.pno,4
cumcounthour.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,4
cumcounthour.remote_addr.http_user_agent.http_x_forwarded_for.Id,4
cumcounthour.http_x_forwarded_for.pno.Id,3
cumcounthour.file.http_user_agent.Id,3
cumcounthour.file.http_referer.http_x_forwarded_for.Id,3
cumcounthour.file.http_referer.http_user_agent.pno.Id,3
cumcounthour.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,3
cumcounthour.http_x_forwarded_for.pno,3
cumcounthour.file.http_x_forwarded_for,3
cumcounthour.file.http_user_agent.pno.Id,3
cumcounthour.remote_addr.file.http_referer.http_user_agent.Id,3
cumcounthour.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
cumcounthour.remote_addr.file.http_referer.http_user_agent.pno,2
cumcounthour.http_referer.http_user_agent.pno.Id,2
cumcounthour.file.http_user_agent.http_x_forwarded_for.pno,2
cumcounthour.file.http_referer.http_user_agent.http_x_forwarded_for.pno,2
cumcounthour.remote_addr.http_referer.pno.Id,2
cumcounthour.remote_addr.http_user_agent.pno.Id,2
cumcounthour.http_user_agent.pno.Id,2
cumcounthour.remote_addr.file.http_referer.pno.Id,2
cumcounthour.pno,1
cumcounthour.file.http_referer.http_x_forwarded_for.pno,1
cumcounthour.file.http_referer.http_x_forwarded_for.pno.Id,1
cumcounthour.remote_addr.file.http_referer.http_x_forwarded_for.Id,1
cumcounthour.remote_addr.file.http_referer.http_x_forwarded_for.pno,1
cumcounthour.file.http_x_forwarded_for.pno.Id,1
cumcounthour.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,1
cumcounthour.http_user_agent.http_x_forwarded_for.pno.Id,1
cumcounthour.remote_addr.file.http_referer.pno,1
cumcounthour.remote_addr.file.pno.Id,1
cumcounthour.remote_addr.file.Id,1
cumcounthour.remote_addr.file.http_referer.http_x_forwarded_for,1
cumcounthour.remote_addr.file.http_user_agent.Id,1
cumcounthour.remote_addr.http_x_forwarded_for,0
cumcounthour.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcounthour.remote_addr.http_x_forwarded_for.Id,0
cumcounthour.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
cumcounthour.remote_addr.http_x_forwarded_for.pno.Id,0
cumcounthour.remote_addr.http_user_agent.http_x_forwarded_for.pno,0
cumcounthour.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcounthour.remote_addr.http_x_forwarded_for.pno,0
cumcounthour.remote_addr.file.http_user_agent.pno,0
cumcounthour.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcounthour.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
cumcounthour.file.http_x_forwarded_for.pno,0
cumcounthour.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
cumcounthour.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
cumcounthour.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcounthour.remote_addr.file.http_referer.http_user_agent.pno.Id,0
cumcounthour.remote_addr.file.http_referer.Id,0
cumcounthour.remote_addr.file.http_user_agent.http_x_forwarded_for,0
cumcounthour.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
cumcounthour.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
cumcounthour.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
time_second,0
cumcounthour.remote_addr.file.http_user_agent.pno.Id,0
cumcounthour.remote_addr.file.http_x_forwarded_for,0
cumcounthour.remote_addr.file.http_x_forwarded_for.Id,0
cumcounthour.remote_addr.file.http_x_forwarded_for.pno,0
cumcounthour.remote_addr.file.http_x_forwarded_for.pno.Id,0
cumcounthour.file.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcounthour.body_bytes_sent,0
