column,importance
file,6169
http_user_agent,1813
body_bytes_sent,1614
time,1458
http_x_forwarded_for,1420
remote_addr,407
http_referer,396
pno,208
request_time,150
Id,111
cumcountminute.http_referer.http_x_forwarded_for,81
cumcountminute.request_time,62
time_day,59
cumcountminute.file.pno,50
cumcountminute.remote_addr.file.http_referer.http_user_agent,42
time_second,39
cumcountminute.http_referer.http_user_agent,35
cumcountminute.file.http_referer.http_user_agent.http_x_forwarded_for,34
cumcountminute.http_user_agent,33
cumcountminute.file,29
cumcountminute.remote_addr.http_referer.http_user_agent.pno,25
time_hour,23
cumcountminute.file.http_referer.http_user_agent.pno,23
cumcountminute.remote_addr.file.http_user_agent,23
cumcountminute.http_referer.http_x_forwarded_for.pno,22
cumcountminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,21
cumcountminute.Id,20
cumcountminute.http_referer.http_user_agent.http_x_forwarded_for,17
cumcountminute.remote_addr.pno,17
cumcountminute.remote_addr,16
cumcountminute.http_referer.http_user_agent.pno,16
cumcountminute.file.http_referer.pno,16
cumcountminute.http_referer,15
cumcountminute.http_user_agent.Id,14
cumcountminute.remote_addr.Id,14
cumcountminute.file.http_user_agent.http_x_forwarded_for,13
cumcountminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,13
cumcountminute.http_user_agent.pno,13
cumcountminute.file.http_referer.Id,12
cumcountminute.file.http_referer,11
cumcountminute.http_referer.Id,11
cumcountminute.http_referer.http_user_agent.http_x_forwarded_for.pno,10
cumcountminute.http_referer.http_x_forwarded_for.Id,10
cumcountminute.file.http_referer.http_user_agent,10
cumcountminute.file.pno.Id,10
cumcountminute.remote_addr.http_referer.http_user_agent.pno.Id,9
cumcountminute.remote_addr.http_user_agent.pno,9
cumcountminute.remote_addr.http_user_agent.http_x_forwarded_for,8
cumcountminute.file.Id,8
cumcountminute.pno.Id,8
cumcountminute.remote_addr.file.http_referer.http_user_agent.Id,7
cumcountminute.http_x_forwarded_for,7
cumcountminute.file.http_user_agent,7
cumcountminute.http_referer.pno.Id,6
cumcountminute.http_referer.http_user_agent.http_x_forwarded_for.Id,6
cumcountminute.remote_addr.file,6
cumcountminute.http_user_agent.http_x_forwarded_for.pno,6
cumcountminute.remote_addr.file.pno,6
cumcountminute.file.http_referer.pno.Id,5
cumcountminute.remote_addr.http_user_agent.Id,5
cumcountminute.http_referer.pno,5
cumcountminute.http_x_forwarded_for.pno,5
cumcountminute.http_user_agent.http_x_forwarded_for,5
cumcountminute.file.http_user_agent.http_x_forwarded_for.pno,4
cumcountminute.remote_addr.file.http_referer,4
cumcountminute.remote_addr.http_user_agent,4
cumcountminute.http_referer.http_x_forwarded_for.pno.Id,4
cumcountminute.file.http_referer.http_user_agent.http_x_forwarded_for.Id,4
cumcountminute.remote_addr.http_user_agent.pno.Id,3
cumcountminute.remote_addr.http_referer.pno,3
cumcountminute.remote_addr.http_user_agent.http_x_forwarded_for.Id,3
cumcountminute.file.http_referer.http_x_forwarded_for.pno,3
cumcountminute.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,3
cumcountminute.http_x_forwarded_for.Id,3
cumcountminute.http_referer.http_user_agent.pno.Id,3
cumcountminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,3
cumcountminute.file.http_user_agent.pno,3
cumcountminute.http_user_agent.http_x_forwarded_for.Id,3
cumcountminute.file.http_x_forwarded_for.pno,3
