column,importance
file,5769
http_user_agent,1580
http_x_forwarded_for,1137
time,1111
body_bytes_sent,914
remote_addr,344
pno,338
http_referer,337
request_time,163
Id,105
time_day,72
cumcountratioday.remote_addr.http_referer.http_user_agent,51
cumcountratioday.file.http_user_agent.http_x_forwarded_for,45
cumcountratioday.remote_addr.file.http_referer.http_user_agent,43
cumcountratioday.http_referer.http_x_forwarded_for.pno,37
cumcountratioday.file.http_referer.http_user_agent.http_x_forwarded_for,35
cumcountratioday.remote_addr.Id,34
cumcountratioday.remote_addr.pno.Id,33
cumcountratioday.remote_addr.http_referer.pno.Id,32
cumcountratioday.http_user_agent.http_x_forwarded_for,32
cumcountratioday.http_referer.http_user_agent.http_x_forwarded_for,30
cumcountratioday.remote_addr.http_referer.http_user_agent.pno,30
cumcountratioday.remote_addr.http_referer.http_x_forwarded_for.pno,30
cumcountratioday.remote_addr,30
cumcountratioday.file.pno,29
cumcountratioday.http_user_agent.http_x_forwarded_for.Id,28
time_minute,28
cumcountratioday.Id,27
cumcountratioday.remote_addr.http_referer.pno,26
cumcountratioday.remote_addr.file.http_user_agent,26
cumcountratioday.file.http_user_agent,25
cumcountratioday.remote_addr.file,24
cumcountratioday.remote_addr.http_user_agent.pno,23
cumcountratioday.http_x_forwarded_for.pno.Id,21
cumcountratioday.file.http_referer.http_user_agent,21
cumcountratioday.pno,21
cumcountratioday.http_referer.http_x_forwarded_for.Id,20
cumcountratioday.remote_addr.http_user_agent,20
cumcountratioday.remote_addr.http_referer.Id,19
cumcountratioday.remote_addr.pno,18
cumcountratioday.remote_addr.http_user_agent.Id,18
cumcountratioday.http_referer.http_x_forwarded_for.pno.Id,17
cumcountratioday.http_referer.http_x_forwarded_for,17
cumcountratioday.remote_addr.http_referer.http_user_agent.pno.Id,16
cumcountratioday.file.http_referer.http_user_agent.pno,16
time_hour,16
cumcountratioday.remote_addr.http_referer,16
cumcountratioday.remote_addr.file.pno,15
cumcountratioday.http_referer.http_user_agent,15
cumcountratioday.pno.Id,14
cumcountratioday.remote_addr.file.http_referer.http_user_agent.Id,14
cumcountratioday.file,13
cumcountratioday.file.http_referer.http_user_agent.http_x_forwarded_for.Id,13
cumcountratioday.http_referer.http_user_agent.http_x_forwarded_for.Id,13
