column,importance
file,5999
http_user_agent,1743
http_x_forwarded_for,1386
time,1307
body_bytes_sent,1278
remote_addr,391
http_referer,376
pno,276
request_time,172
Id,112
time_day,75
cumcountratiominute.remote_addr.http_referer.http_user_agent,50
time_second,42
time_hour,37
cumcountratiominute.remote_addr.http_referer.http_user_agent.pno,36
cumcountratiominute.file.http_referer.http_user_agent,36
cumcountratiominute.file.http_referer.http_user_agent.http_x_forwarded_for,36
cumcountratiominute.remote_addr.pno,35
cumcountratiominute.http_user_agent.http_x_forwarded_for,32
cumcountratiominute.file.http_user_agent.http_x_forwarded_for,32
cumcountratiominute.file.pno,27
cumcountratiominute.file.http_referer.pno,26
cumcountratiominute.http_referer.http_x_forwarded_for.pno,26
cumcountratiominute.remote_addr.file.http_referer.http_user_agent,25
cumcountratiominute.http_x_forwarded_for.pno.Id,24
cumcountratiominute.file.http_user_agent,23
cumcountratiominute.remote_addr.http_user_agent,22
cumcountratiominute.remote_addr.file.http_user_agent,21
cumcountratiominute.remote_addr.pno.Id,20
cumcountratiominute.http_referer.http_user_agent.http_x_forwarded_for.pno,18
cumcountratiominute.remote_addr.http_referer.pno.Id,18
cumcountratiominute.http_referer.http_x_forwarded_for.pno.Id,17
cumcountratiominute.file.http_referer.http_user_agent.Id,17
cumcountratiominute.http_referer.http_user_agent,17
cumcountratiominute.remote_addr,16
cumcountratiominute.remote_addr.http_user_agent.Id,15
cumcountratiominute.file,15
cumcountratiominute.remote_addr.http_referer.http_user_agent.Id,13
cumcountratiominute.http_user_agent.pno.Id,13
cumcountratiominute.Id,13
cumcountratiominute.http_x_forwarded_for.pno,13
cumcountratiominute.pno.Id,12
cumcountratiominute.http_referer.Id,12
cumcountratiominute.http_user_agent.http_x_forwarded_for.Id,12
cumcountratiominute.file.http_referer.http_user_agent.pno,12
cumcountratiominute.http_user_agent.Id,12
cumcountratiominute.http_user_agent.pno,11
cumcountratiominute.remote_addr.http_referer,11
cumcountratiominute.remote_addr.http_referer.http_user_agent.pno.Id,11
cumcountratiominute.remote_addr.http_referer.Id,11
cumcountratiominute.remote_addr.http_referer.pno,11
cumcountratiominute.file.http_user_agent.pno,10
cumcountratiominute.http_referer.http_user_agent.http_x_forwarded_for,10
cumcountratiominute.remote_addr.Id,10
cumcountratiominute.remote_addr.file.pno,9
cumcountratiominute.file.http_referer,9
cumcountratiominute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,8
cumcountratiominute.file.http_referer.pno.Id,8
cumcountratiominute.file.http_referer.http_user_agent.pno.Id,8
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.Id,6
cumcountratiominute.http_referer.pno,6
cumcountratiominute.http_referer.pno.Id,6
cumcountratiominute.http_user_agent,6
cumcountratiominute.remote_addr.http_user_agent.http_x_forwarded_for.Id,6
cumcountratiominute.file.http_referer.http_user_agent.http_x_forwarded_for.pno,6
cumcountratiominute.remote_addr.http_user_agent.pno,5
cumcountratiominute.remote_addr.http_user_agent.http_x_forwarded_for,5
cumcountratiominute.request_time,5
cumcountratiominute.file.http_user_agent.Id,5
cumcountratiominute.file.http_referer.Id,5
cumcountratiominute.http_referer.http_x_forwarded_for,5
cumcountratiominute.http_x_forwarded_for,4
cumcountratiominute.file.http_referer.http_x_forwarded_for,4
cumcountratiominute.file.Id,4
cumcountratiominute.remote_addr.http_x_forwarded_for,4
cumcountratiominute.file.http_user_agent.http_x_forwarded_for.pno,4
cumcountratiominute.file.pno.Id,4
cumcountratiominute.http_user_agent.http_x_forwarded_for.pno,4
cumcountratiominute.http_x_forwarded_for.Id,4
cumcountratiominute.pno,4
cumcountratiominute.http_referer.http_user_agent.http_x_forwarded_for.Id,3
cumcountratiominute.remote_addr.file,3
cumcountratiominute.http_referer.http_x_forwarded_for.Id,3
cumcountratiominute.http_referer.http_user_agent.pno.Id,3
cumcountratiominute.remote_addr.file.http_referer.pno,3
cumcountratiominute.remote_addr.http_user_agent.pno.Id,3
cumcountratiominute.http_referer.http_user_agent.pno,3
cumcountratiominute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,3
cumcountratiominute.http_referer.http_user_agent.Id,3
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.pno.Id,3
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.pno,3
cumcountratiominute.file.http_x_forwarded_for,3
cumcountratiominute.body_bytes_sent,3
cumcountratiominute.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,3
cumcountratiominute.http_referer,3
cumcountratiominute.remote_addr.http_referer.http_x_forwarded_for,3
cumcountratiominute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,3
cumcountratiominute.remote_addr.file.http_user_agent.Id,2
cumcountratiominute.file.http_x_forwarded_for.pno,2
cumcountratiominute.file.http_user_agent.http_x_forwarded_for.Id,2
cumcountratiominute.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
cumcountratiominute.remote_addr.file.http_referer.Id,2
cumcountratiominute.remote_addr.http_user_agent.http_x_forwarded_for.pno,2
cumcountratiominute.file.http_referer.http_user_agent.http_x_forwarded_for.Id,2
cumcountratiominute.remote_addr.http_x_forwarded_for.pno.Id,2
cumcountratiominute.remote_addr.http_x_forwarded_for.pno,2
cumcountratiominute.remote_addr.http_referer.http_x_forwarded_for.pno,2
cumcountratiominute.remote_addr.file.http_user_agent.pno,1
cumcountratiominute.remote_addr.file.http_referer,1
cumcountratiominute.file.http_user_agent.pno.Id,1
cumcountratiominute.file.http_x_forwarded_for.Id,1
cumcountratiominute.file.http_referer.http_x_forwarded_for.Id,1
cumcountratiominute.remote_addr.file.pno.Id,1
cumcountratiominute.remote_addr.file.Id,1
cumcountratiominute.file.http_referer.http_x_forwarded_for.pno,1
cumcountratiominute.remote_addr.file.http_user_agent.pno.Id,1
cumcountratiominute.remote_addr.http_referer.http_x_forwarded_for.Id,1
cumcountratiominute.remote_addr.http_x_forwarded_for.Id,0
cumcountratiominute.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountratiominute.file.http_referer.http_x_forwarded_for.pno.Id,0
time_minute,0
cumcountratiominute.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
cumcountratiominute.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountratiominute.file.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountratiominute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,0
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
cumcountratiominute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountratiominute.remote_addr.file.http_referer.http_x_forwarded_for,0
cumcountratiominute.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
cumcountratiominute.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
cumcountratiominute.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
cumcountratiominute.remote_addr.file.http_referer.pno.Id,0
cumcountratiominute.remote_addr.file.http_user_agent.http_x_forwarded_for,0
cumcountratiominute.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
cumcountratiominute.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
cumcountratiominute.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
cumcountratiominute.remote_addr.file.http_x_forwarded_for,0
cumcountratiominute.remote_addr.file.http_x_forwarded_for.pno,0
cumcountratiominute.remote_addr.file.http_x_forwarded_for.pno.Id,0
cumcountratiominute.file.http_x_forwarded_for.pno.Id,0
cumcountratiominute.remote_addr.file.http_x_forwarded_for.Id,0
