column,importance
file,5756
http_user_agent,1887
time,1409
body_bytes_sent,1351
http_x_forwarded_for,1323
remote_addr,507
pno,321
http_referer,303
request_time,186
diffnext.remote_addr,118
Id,104
diffnext.remote_addr.file.http_referer.http_user_agent,71
time_day,69
diffnext.file.http_user_agent.http_x_forwarded_for,50
diffnext.http_user_agent.http_x_forwarded_for,50
diffnext.remote_addr.http_referer.http_user_agent,47
diffnext.http_x_forwarded_for,41
diffnext.file.pno,40
diffnext.http_x_forwarded_for.Id,40
diffnext.remote_addr.http_referer.Id,32
time_hour,31
diffnext.remote_addr.Id,31
diffnext.remote_addr.pno,30
diffnext.remote_addr.http_referer,29
diffnext.file.http_referer.pno.Id,28
diffnext.http_referer.http_x_forwarded_for,28
diffnext.file.http_referer.http_user_agent,27
diffnext.http_user_agent.Id,26
diffnext.http_referer.http_user_agent.http_x_forwarded_for,24
diffnext.remote_addr.file.http_user_agent,21
diffnext.http_user_agent.http_x_forwarded_for.pno,20
diffnext.file,18
diffnext.http_referer.http_user_agent,18
diffnext.remote_addr.http_referer.http_user_agent.pno,18
diffnext.remote_addr.http_user_agent.pno,17
diffnext.http_user_agent,16
diffnext.file.http_referer.Id,16
diffnext.file.http_user_agent,16
diffnext.file.http_referer.http_user_agent.http_x_forwarded_for,16
diffnext.Id,15
diffnext.http_user_agent.http_x_forwarded_for.Id,14
diffnext.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,14
diffnext.remote_addr.pno.Id,14
diffnext.remote_addr.http_referer.pno,14
diffnext.remote_addr.http_referer.http_user_agent.Id,13
diffnext.remote_addr.http_user_agent.http_x_forwarded_for,13
diffnext.file.http_referer,13
diffnext.remote_addr.file,13
diffnext.http_referer.Id,12
diffnext.remote_addr.http_user_agent.Id,12
diffnext.body_bytes_sent,12
diffnext.http_referer.http_user_agent.http_x_forwarded_for.pno,12
diffnext.http_user_agent.pno.Id,12
diffnext.file.http_user_agent.pno,11
diffnext.file.http_referer.pno,11
diffnext.http_referer.http_x_forwarded_for.Id,11
diffnext.remote_addr.http_user_agent.pno.Id,10
diffnext.file.http_referer.http_user_agent.pno,10
diffnext.remote_addr.http_referer.http_user_agent.pno.Id,10
diffnext.file.http_referer.http_x_forwarded_for,9
diffnext.remote_addr.http_referer.http_x_forwarded_for,9
diffnext.file.http_user_agent.Id,9
diffnext.http_referer.pno,8
diffnext.http_referer.pno.Id,8
diffnext.remote_addr.http_user_agent,8
diffnext.http_x_forwarded_for.pno,8
diffnext.http_referer.http_user_agent.pno.Id,8
diffnext.http_referer.http_user_agent.Id,8
diffnext.http_x_forwarded_for.pno.Id,8
diffnext.remote_addr.file.pno.Id,8
diffnext.pno.Id,7
diffnext.remote_addr.file.http_referer.http_user_agent.Id,7
diffnext.remote_addr.file.http_referer.pno.Id,7
diffnext.remote_addr.file.http_referer,7
diffnext.http_user_agent.pno,7
diffnext.file.http_referer.http_x_forwarded_for.pno,7
diffnext.http_user_agent.http_x_forwarded_for.pno.Id,7
diffnext.http_referer.http_user_agent.http_x_forwarded_for.Id,7
diffnext.file.http_user_agent.http_x_forwarded_for.Id,6
diffnext.file.http_referer.http_user_agent.http_x_forwarded_for.Id,6
diffnext.http_referer,6
diffnext.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,5
time_minute,5
diffnext.file.http_referer.http_user_agent.Id,5
diffnext.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,5
diffnext.remote_addr.file.pno,5
diffnext.remote_addr.http_user_agent.http_x_forwarded_for.pno,4
diffnext.remote_addr.http_user_agent.http_x_forwarded_for.Id,4
diffnext.remote_addr.http_x_forwarded_for,4
diffnext.file.http_x_forwarded_for.Id,4
diffnext.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,4
diffnext.file.http_x_forwarded_for.pno.Id,4
diffnext.file.Id,4
diffnext.file.pno.Id,4
diffnext.remote_addr.file.http_user_agent.Id,4
diffnext.remote_addr.file.Id,4
diffnext.remote_addr.file.http_referer.pno,4
diffnext.remote_addr.file.http_referer.http_user_agent.pno,4
diffnext.remote_addr.file.http_referer.Id,4
time_second,3
diffnext.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,3
diffnext.remote_addr.http_referer.http_x_forwarded_for.pno,3
diffnext.file.http_referer.http_x_forwarded_for.Id,3
diffnext.file.http_x_forwarded_for.pno,3
diffnext.http_referer.http_x_forwarded_for.pno.Id,3
diffnext.remote_addr.http_x_forwarded_for.pno,2
diffnext.remote_addr.http_referer.pno.Id,2
diffnext.file.http_user_agent.http_x_forwarded_for.pno,2
diffnext.remote_addr.http_x_forwarded_for.pno.Id,2
diffnext.remote_addr.http_referer.http_x_forwarded_for.Id,2
diffnext.file.http_x_forwarded_for,2
diffnext.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
diffnext.file.http_referer.http_user_agent.http_x_forwarded_for.pno,2
diffnext.http_referer.http_user_agent.pno,2
diffnext.request_time,2
diffnext.remote_addr.file.http_referer.http_user_agent.pno.Id,1
diffnext.file.http_referer.http_x_forwarded_for.pno.Id,1
diffnext.remote_addr.http_x_forwarded_for.Id,1
diffnext.remote_addr.file.http_user_agent.pno,1
diffnext.file.http_referer.http_user_agent.pno.Id,1
diffnext.http_referer.http_x_forwarded_for.pno,1
diffnext.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,1
diffnext.file.http_user_agent.pno.Id,1
diffnext.remote_addr.file.http_referer.http_x_forwarded_for.pno,1
diffnext.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_user_agent.pno.Id,0
diffnext.pno,0
diffnext.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
diffnext.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
diffnext.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
diffnext.remote_addr.file.http_user_agent.http_x_forwarded_for,0
diffnext.remote_addr.file.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_x_forwarded_for,0
diffnext.file.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_x_forwarded_for.Id,0
diffnext.remote_addr.file.http_referer.http_x_forwarded_for,0
diffnext.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
diffnext.remote_addr.file.http_x_forwarded_for.pno,0
diffnext.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
diffnext.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
