column,importance
file,6346
http_user_agent,1832
body_bytes_sent,1466
time,1437
http_x_forwarded_for,1178
remote_addr,535
http_referer,332
pno,248
request_time,190
time_day,95
Id,93
diffnext_2.remote_addr,86
diffnext_2.file.pno,63
diffnext_2.remote_addr.http_referer.http_user_agent,57
diffnext_2.http_x_forwarded_for,50
diffnext_2.file.http_user_agent.pno,42
diffnext_2.http_referer.http_x_forwarded_for,41
time_hour,37
diffnext_2.file,35
diffnext_2.http_referer.Id,29
diffnext_2.remote_addr.file.http_referer.http_user_agent,29
time_minute,27
diffnext_2.remote_addr.Id,26
diffnext_2.file.http_user_agent,26
diffnext_2.http_referer.http_user_agent,25
diffnext_2.remote_addr.pno,25
diffnext_2.Id,25
diffnext_2.file.http_user_agent.http_x_forwarded_for,25
diffnext_2.http_x_forwarded_for.Id,22
diffnext_2.remote_addr.http_user_agent.pno,21
diffnext_2.file.http_referer.Id,21
diffnext_2.file.http_referer.http_user_agent.http_x_forwarded_for,20
diffnext_2.file.http_referer.http_user_agent,20
diffnext_2.remote_addr.http_referer.pno,19
diffnext_2.remote_addr.http_referer.http_user_agent.pno,18
diffnext_2.remote_addr.pno.Id,18
diffnext_2.file.http_x_forwarded_for.Id,17
diffnext_2.http_user_agent.http_x_forwarded_for,17
diffnext_2.remote_addr.http_user_agent,16
diffnext_2.file.http_referer,15
diffnext_2.http_referer.http_user_agent.pno,15
diffnext_2.file.http_referer.http_user_agent.pno,15
diffnext_2.remote_addr.http_user_agent.Id,14
diffnext_2.http_referer,13
diffnext_2.remote_addr.http_x_forwarded_for,12
diffnext_2.http_referer.http_x_forwarded_for.Id,12
diffnext_2.http_user_agent.http_x_forwarded_for.pno,11
diffnext_2.remote_addr.http_referer.http_user_agent.Id,11
diffnext_2.http_user_agent.Id,11
diffnext_2.http_referer.http_user_agent.http_x_forwarded_for,10
diffnext_2.remote_addr.file.http_user_agent,10
diffnext_2.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,9
diffnext_2.http_referer.http_user_agent.Id,9
diffnext_2.file.http_referer.pno,8
diffnext_2.http_referer.http_x_forwarded_for.pno,8
diffnext_2.remote_addr.http_referer.http_x_forwarded_for,8
diffnext_2.http_referer.pno.Id,7
diffnext_2.http_user_agent.http_x_forwarded_for.pno.Id,7
diffnext_2.remote_addr.http_referer,7
diffnext_2.file.http_user_agent.Id,7
diffnext_2.file.http_referer.pno.Id,7
diffnext_2.remote_addr.file.http_user_agent.Id,7
diffnext_2.file.http_user_agent.http_x_forwarded_for.pno,7
diffnext_2.http_user_agent.pno,6
diffnext_2.http_x_forwarded_for.pno.Id,6
diffnext_2.file.http_referer.http_user_agent.http_x_forwarded_for.pno,6
diffnext_2.remote_addr.http_user_agent.http_x_forwarded_for,6
diffnext_2.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,5
diffnext_2.http_user_agent.pno.Id,5
diffnext_2.file.http_referer.http_x_forwarded_for.Id,5
diffnext_2.http_user_agent.http_x_forwarded_for.Id,5
diffnext_2.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,5
diffnext_2.http_referer.http_x_forwarded_for.pno.Id,5
diffnext_2.remote_addr.http_user_agent.pno.Id,5
diffnext_2.remote_addr.file.http_referer.http_user_agent.Id,5
diffnext_2.file.Id,5
diffnext_2.file.pno.Id,5
diffnext_2.remote_addr.http_referer.http_user_agent.pno.Id,4
diffnext_2.pno.Id,4
diffnext_2.http_referer.pno,4
diffnext_2.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,4
diffnext_2.file.http_referer.http_user_agent.pno.Id,4
diffnext_2.remote_addr.file.http_referer.http_user_agent.pno,4
diffnext_2.remote_addr.http_referer.http_x_forwarded_for.pno,3
diffnext_2.remote_addr.file.http_user_agent.pno.Id,3
diffnext_2.remote_addr.http_referer.Id,3
diffnext_2.remote_addr.file,3
time_second,3
diffnext_2.file.http_referer.http_user_agent.http_x_forwarded_for.Id,3
diffnext_2.http_referer.http_user_agent.http_x_forwarded_for.pno,3
diffnext_2.file.http_x_forwarded_for,3
diffnext_2.http_x_forwarded_for.pno,2
diffnext_2.http_user_agent,2
diffnext_2.http_referer.http_user_agent.pno.Id,2
diffnext_2.remote_addr.http_referer.pno.Id,2
diffnext_2.remote_addr.http_user_agent.http_x_forwarded_for.Id,2
diffnext_2.file.http_user_agent.http_x_forwarded_for.Id,2
diffnext_2.remote_addr.file.http_referer.pno,2
diffnext_2.file.http_referer.http_x_forwarded_for,2
diffnext_2.remote_addr.http_x_forwarded_for.Id,2
diffnext_2.remote_addr.file.http_referer.http_user_agent.pno.Id,2
diffnext_2.remote_addr.http_user_agent.http_x_forwarded_for.pno,1
diffnext_2.file.http_user_agent.pno.Id,1
diffnext_2.file.http_referer.http_x_forwarded_for.pno,1
diffnext_2.remote_addr.http_referer.http_x_forwarded_for.Id,1
diffnext_2.body_bytes_sent,1
diffnext_2.http_referer.http_user_agent.http_x_forwarded_for.Id,1
diffnext_2.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,1
diffnext_2.request_time,1
diffnext_2.remote_addr.file.Id,1
diffnext_2.remote_addr.file.pno,0
diffnext_2.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
diffnext_2.remote_addr.file.http_user_agent.http_x_forwarded_for,0
diffnext_2.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
diffnext_2.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext_2.remote_addr.file.http_referer.pno.Id,0
diffnext_2.file.http_referer.http_x_forwarded_for.pno.Id,0
diffnext_2.remote_addr.file.http_referer.Id,0
diffnext_2.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
diffnext_2.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
diffnext_2.remote_addr.http_x_forwarded_for.pno,0
diffnext_2.remote_addr.http_x_forwarded_for.pno.Id,0
diffnext_2.file.http_referer.http_user_agent.Id,0
diffnext_2.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
diffnext_2.remote_addr.file.http_referer.http_x_forwarded_for,0
diffnext_2.file.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext_2.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
diffnext_2.remote_addr.file.pno.Id,0
diffnext_2.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
diffnext_2.file.http_x_forwarded_for.pno,0
diffnext_2.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
diffnext_2.file.http_x_forwarded_for.pno.Id,0
diffnext_2.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
diffnext_2.remote_addr.file.http_user_agent.pno,0
diffnext_2.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
diffnext_2.remote_addr.file.http_x_forwarded_for,0
diffnext_2.remote_addr.file.http_x_forwarded_for.Id,0
diffnext_2.remote_addr.file.http_x_forwarded_for.pno,0
diffnext_2.remote_addr.file.http_x_forwarded_for.pno.Id,0
diffnext_2.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,0
diffnext_2.pno,0
diffnext_2.remote_addr.file.http_referer,0
diffnext_2.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
