column,importance
file,6119
http_user_agent,1773
body_bytes_sent,1378
time,1367
http_x_forwarded_for,1336
remote_addr,397
http_referer,386
pno,265
request_time,160
Id,106
time_day,68
diffprevious.file.http_user_agent.http_x_forwarded_for,47
diffprevious.remote_addr.file.http_referer.http_user_agent,46
diffprevious.http_user_agent.http_x_forwarded_for,43
diffprevious.file.pno,42
diffprevious.remote_addr.http_referer.http_user_agent,32
time_hour,32
diffprevious.remote_addr,28
diffprevious.file.http_referer.pno.Id,27
diffprevious.file.http_referer.http_user_agent.http_x_forwarded_for,26
diffprevious.http_referer.http_x_forwarded_for.pno,25
diffprevious.remote_addr.http_referer.http_user_agent.pno,24
diffprevious.file.http_referer.Id,24
diffprevious.remote_addr.http_referer.pno,23
diffprevious.http_x_forwarded_for.Id,22
diffprevious.http_referer.http_user_agent,22
diffprevious.file.http_referer,21
diffprevious.http_referer.http_user_agent.http_x_forwarded_for,20
diffprevious.http_user_agent.http_x_forwarded_for.pno,20
diffprevious.file,20
diffprevious.file.http_referer.pno,20
diffprevious.http_user_agent.http_x_forwarded_for.Id,20
diffprevious.file.http_user_agent,17
diffprevious.http_referer.http_x_forwarded_for,16
diffprevious.remote_addr.file.http_referer.http_user_agent.Id,15
diffprevious.remote_addr.http_user_agent.http_x_forwarded_for,15
diffprevious.http_user_agent.pno.Id,14
diffprevious.remote_addr.http_referer.http_x_forwarded_for.pno,13
diffprevious.Id,13
diffprevious.body_bytes_sent,13
diffprevious.http_x_forwarded_for.pno.Id,12
diffprevious.remote_addr.http_referer.http_x_forwarded_for,12
diffprevious.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,12
diffprevious.file.Id,12
diffprevious.remote_addr.http_user_agent,10
diffprevious.http_referer.http_x_forwarded_for.pno.Id,10
diffprevious.http_user_agent.Id,10
diffprevious.http_x_forwarded_for,10
diffprevious.file.http_referer.http_user_agent,10
diffprevious.http_referer.http_user_agent.http_x_forwarded_for.pno,9
diffprevious.remote_addr.pno,9
diffprevious.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,9
diffprevious.file.http_referer.http_user_agent.http_x_forwarded_for.Id,9
diffprevious.remote_addr.file,9
diffprevious.remote_addr.http_user_agent.Id,9
diffprevious.remote_addr.http_user_agent.http_x_forwarded_for.Id,8
diffprevious.http_user_agent,8
diffprevious.remote_addr.file.http_user_agent,8
diffprevious.file.http_referer.http_x_forwarded_for,8
diffprevious.remote_addr.http_referer,8
diffprevious.http_x_forwarded_for.pno,7
diffprevious.file.http_user_agent.http_x_forwarded_for.Id,7
diffprevious.remote_addr.http_referer.pno.Id,7
diffprevious.remote_addr.http_referer.http_x_forwarded_for.Id,7
diffprevious.remote_addr.file.pno,7
diffprevious.remote_addr.Id,7
diffprevious.file.http_referer.http_user_agent.Id,6
diffprevious.file.http_referer.http_user_agent.pno.Id,6
diffprevious.http_referer.http_x_forwarded_for.Id,6
diffprevious.remote_addr.pno.Id,6
diffprevious.http_user_agent.pno,6
diffprevious.pno.Id,5
diffprevious.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,5
diffprevious.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,5
diffprevious.remote_addr.file.http_user_agent.Id,5
diffprevious.file.pno.Id,5
diffprevious.file.http_referer.http_user_agent.http_x_forwarded_for.pno,5
diffprevious.file.http_user_agent.http_x_forwarded_for.pno,5
diffprevious.http_user_agent.http_x_forwarded_for.pno.Id,5
diffprevious.file.http_user_agent.pno,5
diffprevious.remote_addr.http_user_agent.pno,5
diffprevious.http_referer.http_user_agent.http_x_forwarded_for.Id,5
diffprevious.remote_addr.http_referer.http_user_agent.pno.Id,4
diffprevious.remote_addr.file.http_referer.pno,4
diffprevious.remote_addr.http_referer.http_user_agent.Id,4
diffprevious.remote_addr.http_referer.Id,4
diffprevious.http_referer.Id,4
time_second,3
diffprevious.remote_addr.http_user_agent.pno.Id,3
diffprevious.remote_addr.http_x_forwarded_for.Id,3
diffprevious.http_referer,3
diffprevious.remote_addr.file.http_referer.pno.Id,3
diffprevious.remote_addr.file.http_referer,3
diffprevious.http_referer.pno.Id,3
diffprevious.file.http_user_agent.Id,3
diffprevious.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,2
diffprevious.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,2
diffprevious.http_referer.http_user_agent.Id,2
diffprevious.file.http_x_forwarded_for.pno,2
diffprevious.http_referer.pno,2
diffprevious.file.http_x_forwarded_for,2
diffprevious.file.http_referer.http_x_forwarded_for.pno.Id,2
diffprevious.file.http_referer.http_x_forwarded_for.pno,2
diffprevious.remote_addr.file.http_referer.Id,2
diffprevious.request_time,2
diffprevious.remote_addr.file.http_user_agent.http_x_forwarded_for,2
diffprevious.remote_addr.file.http_referer.http_x_forwarded_for,2
diffprevious.remote_addr.file.http_referer.http_user_agent.pno.Id,2
diffprevious.remote_addr.file.http_user_agent.pno,2
diffprevious.remote_addr.file.http_x_forwarded_for,2
diffprevious.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,1
diffprevious.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,1
diffprevious.remote_addr.http_referer.http_x_forwarded_for.pno.Id,1
diffprevious.file.http_user_agent.http_x_forwarded_for.pno.Id,1
diffprevious.file.http_x_forwarded_for.pno.Id,1
diffprevious.file.http_referer.http_x_forwarded_for.Id,1
diffprevious.remote_addr.http_x_forwarded_for,1
diffprevious.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,1
diffprevious.http_referer.http_user_agent.pno.Id,1
diffprevious.http_referer.http_user_agent.pno,1
diffprevious.remote_addr.file.pno.Id,1
diffprevious.remote_addr.file.Id,1
diffprevious.remote_addr.http_x_forwarded_for.pno,0
diffprevious.remote_addr.http_x_forwarded_for.pno.Id,0
diffprevious.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
diffprevious.file.http_x_forwarded_for.Id,0
diffprevious.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
diffprevious.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
diffprevious.remote_addr.http_user_agent.http_x_forwarded_for.pno,0
diffprevious.remote_addr.file.http_x_forwarded_for.Id,0
time_minute,0
diffprevious.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
diffprevious.file.http_user_agent.pno.Id,0
diffprevious.remote_addr.file.http_x_forwarded_for.pno,0
diffprevious.pno,0
diffprevious.remote_addr.file.http_user_agent.pno.Id,0
diffprevious.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
diffprevious.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
diffprevious.file.http_referer.http_user_agent.pno,0
diffprevious.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
diffprevious.remote_addr.file.http_referer.http_user_agent.pno,0
diffprevious.remote_addr.file.http_x_forwarded_for.pno.Id,0
diffprevious.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
