column,importance
file,5540
http_user_agent,1582
time,1171
http_x_forwarded_for,1067
body_bytes_sent,1035
remote_addr,383
http_referer,337
pno,247
request_time,158
Id,100
time_day,80
diffprevious_2.remote_addr.http_referer.http_user_agent.pno,75
diffprevious_2.remote_addr.http_referer.http_user_agent,55
diffprevious_2.file.pno,53
time_hour,36
diffprevious_2.remote_addr.pno,34
diffprevious_2.remote_addr.http_referer.pno,32
diffprevious_2.file.http_user_agent.http_x_forwarded_for,30
diffprevious_2.http_referer.http_x_forwarded_for,28
diffprevious_2.remote_addr.http_user_agent.pno,28
diffprevious_2.remote_addr.file.http_referer.http_user_agent,27
diffprevious_2.http_user_agent.http_x_forwarded_for,26
diffprevious_2.file.http_referer.Id,26
diffprevious_2.file.http_referer.http_user_agent.http_x_forwarded_for,25
diffprevious_2.file,25
diffprevious_2.file.http_user_agent,24
diffprevious_2.file.http_referer.pno.Id,24
diffprevious_2.http_referer.http_user_agent,22
diffprevious_2.file.http_referer.pno,21
diffprevious_2.Id,19
diffprevious_2.remote_addr.pno.Id,18
diffprevious_2.remote_addr.http_referer.http_user_agent.pno.Id,18
diffprevious_2.file.Id,17
diffprevious_2.remote_addr.http_referer.http_x_forwarded_for,17
diffprevious_2.http_user_agent.http_x_forwarded_for.Id,17
diffprevious_2.file.http_referer,17
diffprevious_2.http_user_agent.Id,16
diffprevious_2.http_x_forwarded_for.Id,15
diffprevious_2.http_referer.http_x_forwarded_for.Id,15
diffprevious_2.file.http_referer.http_user_agent.pno,14
diffprevious_2.file.pno.Id,14
diffprevious_2.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,13
diffprevious_2.remote_addr.http_x_forwarded_for,13
diffprevious_2.http_x_forwarded_for.pno,13
diffprevious_2.http_referer.http_user_agent.http_x_forwarded_for,12
time_minute,12
diffprevious_2.remote_addr.http_referer.pno.Id,11
diffprevious_2.http_referer.http_x_forwarded_for.pno,11
diffprevious_2.file.http_user_agent.pno,10
diffprevious_2.http_referer.Id,10
diffprevious_2.remote_addr.http_referer.http_user_agent.Id,10
diffprevious_2.http_referer,9
diffprevious_2.http_user_agent.http_x_forwarded_for.pno,9
diffprevious_2.remote_addr,8
diffprevious_2.remote_addr.http_user_agent,8
diffprevious_2.remote_addr.http_user_agent.pno.Id,8
diffprevious_2.remote_addr.Id,8
diffprevious_2.http_x_forwarded_for,8
