column,importance
file,910
file.http_referer.pno,895
file.http_referer,849
file.pno,625
http_user_agent.pno,525
time,494
file.Id,455
file.http_referer.http_user_agent,409
file.pno.Id,387
file.http_referer.pno.Id,372
file.http_referer.Id,314
http_user_agent,307
file.http_user_agent,272
http_referer.http_user_agent.http_x_forwarded_for.pno,222
http_referer.http_user_agent.pno,217
http_x_forwarded_for,190
http_referer.http_user_agent,175
body_bytes_sent,174
http_referer.http_x_forwarded_for.pno,168
http_referer.http_user_agent.http_x_forwarded_for,146
request_time,143
http_referer.pno,141
remote_addr.http_user_agent,133
remote_addr.pno,130
http_user_agent.http_x_forwarded_for.pno,123
pno,118
http_user_agent.http_x_forwarded_for,114
Id,107
http_user_agent.pno.Id,92
file.http_referer.http_x_forwarded_for.pno,92
http_x_forwarded_for.pno,88
http_referer,85
http_referer.http_x_forwarded_for,81
file.http_referer.http_user_agent.Id,66
file.http_x_forwarded_for,63
time_day,63
http_referer.pno.Id,61
http_user_agent.Id,59
remote_addr.http_user_agent.pno,59
pno.Id,58
remote_addr.http_referer,58
remote_addr,57
remote_addr.http_referer.pno,55
http_referer.http_user_agent.http_x_forwarded_for.pno.Id,51
http_x_forwarded_for.Id,41
http_referer.http_user_agent.pno.Id,40
http_referer.Id,38
file.http_user_agent.Id,38
file.http_referer.http_x_forwarded_for,36
http_user_agent.http_x_forwarded_for.pno.Id,30
remote_addr.http_referer.pno.Id,30
http_referer.http_user_agent.Id,29
remote_addr.file,28
http_referer.http_x_forwarded_for.pno.Id,28
remote_addr.http_referer.Id,27
http_user_agent.http_x_forwarded_for.Id,27
remote_addr.http_user_agent.Id,26
remote_addr.pno.Id,26
http_referer.http_user_agent.http_x_forwarded_for.Id,25
file.http_referer.http_user_agent.http_x_forwarded_for,24
remote_addr.Id,22
file.http_referer.http_x_forwarded_for.pno.Id,22
remote_addr.http_referer.http_user_agent,18
file.http_x_forwarded_for.pno,17
time_hour,16
http_x_forwarded_for.pno.Id,16
file.http_x_forwarded_for.Id,15
remote_addr.file.Id,15
file.http_referer.http_user_agent.pno,14
http_referer.http_x_forwarded_for.Id,13
remote_addr.http_user_agent.pno.Id,12
file.http_user_agent.pno,10
file.http_x_forwarded_for.pno.Id,9
file.http_referer.http_x_forwarded_for.Id,8
remote_addr.file.http_referer,6
remote_addr.file.pno,3
remote_addr.http_referer.http_user_agent.Id,3
file.http_user_agent.http_x_forwarded_for,1
file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,1
remote_addr.file.pno.Id,1
file.http_referer.http_user_agent.http_x_forwarded_for.pno,1
file.http_referer.http_user_agent.http_x_forwarded_for.Id,1
time_minute,0
file.http_user_agent.http_x_forwarded_for.Id,0
file.http_user_agent.pno.Id,0
remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
file.http_user_agent.http_x_forwarded_for.pno.Id,0
remote_addr.http_x_forwarded_for.pno.Id,0
remote_addr.http_x_forwarded_for.pno,0
remote_addr.http_x_forwarded_for.Id,0
remote_addr.http_referer.http_user_agent.pno,0
remote_addr.http_referer.http_user_agent.pno.Id,0
remote_addr.http_referer.http_x_forwarded_for,0
remote_addr.http_referer.http_x_forwarded_for.Id,0
remote_addr.http_referer.http_x_forwarded_for.pno,0
remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
file.http_referer.http_user_agent.pno.Id,0
remote_addr.http_x_forwarded_for,0
file.http_user_agent.http_x_forwarded_for.pno,0
remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,0
time_second,0
remote_addr.http_user_agent.http_x_forwarded_for,0
remote_addr.http_user_agent.http_x_forwarded_for.Id,0
remote_addr.http_user_agent.http_x_forwarded_for.pno,0
remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
remote_addr.file.http_referer.http_user_agent,0
remote_addr.http_referer.http_user_agent.http_x_forwarded_for,0
remote_addr.file.http_referer.pno,0
remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
remote_addr.file.http_referer.http_user_agent.Id,0
remote_addr.file.http_referer.http_user_agent.pno,0
remote_addr.file.http_referer.http_user_agent.pno.Id,0
remote_addr.file.http_referer.http_x_forwarded_for,0
remote_addr.file.http_referer.http_x_forwarded_for.Id,0
remote_addr.file.http_referer.http_x_forwarded_for.pno,0
remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
remote_addr.file.http_referer.Id,0
remote_addr.file.http_referer.pno.Id,0
remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
remote_addr.file.http_user_agent,0
remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
remote_addr.file.http_user_agent.Id,0
remote_addr.file.http_user_agent.pno,0
remote_addr.file.http_user_agent.pno.Id,0
remote_addr.file.http_x_forwarded_for,0
remote_addr.file.http_x_forwarded_for.Id,0
remote_addr.file.http_x_forwarded_for.pno,0
remote_addr.file.http_x_forwarded_for.pno.Id,0
remote_addr.file.http_user_agent.http_x_forwarded_for,0
