column,importance
file,5955
http_user_agent,1819
time,1419
body_bytes_sent,1102
http_x_forwarded_for,825
remote_addr,343
http_referer,316
pno,262
request_time,147
recumcount.request_time,114
recumcount.http_referer.http_x_forwarded_for,98
Id,91
recumcount.http_referer.http_user_agent.http_x_forwarded_for,65
recumcount.remote_addr.http_referer.http_user_agent,58
time_day,50
recumcount.file.pno,49
time_minute,47
recumcount.file,46
recumcount.file.http_referer.http_user_agent.http_x_forwarded_for,43
recumcount.http_user_agent.Id,40
recumcount.remote_addr.file.http_user_agent,39
recumcount.http_x_forwarded_for.Id,39
recumcount.file.http_referer.pno.Id,34
recumcount.remote_addr,34
recumcount.file.http_user_agent.http_x_forwarded_for,33
recumcount.pno,32
recumcount.http_x_forwarded_for,31
recumcount.file.http_referer.Id,31
recumcount.remote_addr.Id,30
recumcount.http_referer.http_x_forwarded_for.Id,30
recumcount.http_referer.pno.Id,27
recumcount.http_user_agent.http_x_forwarded_for,26
recumcount.http_referer,25
recumcount.remote_addr.file.http_referer.http_user_agent,25
recumcount.http_referer.Id,25
recumcount.http_user_agent.http_x_forwarded_for.pno,24
recumcount.file.http_user_agent,23
recumcount.remote_addr.file.pno,23
recumcount.Id,23
recumcount.remote_addr.pno,22
time_hour,22
recumcount.http_referer.http_user_agent.http_x_forwarded_for.pno,21
recumcount.pno.Id,21
recumcount.http_referer.http_x_forwarded_for.pno,21
recumcount.remote_addr.http_user_agent.pno,19
recumcount.http_referer.http_user_agent,17
recumcount.http_user_agent,16
recumcount.remote_addr.file,16
recumcount.file.http_referer.pno,16
recumcount.remote_addr.http_referer.Id,15
recumcount.http_referer.pno,15
recumcount.file.http_referer.http_user_agent.http_x_forwarded_for.Id,13
recumcount.remote_addr.http_referer,13
recumcount.remote_addr.http_referer.http_user_agent.Id,13
recumcount.http_x_forwarded_for.pno.Id,12
recumcount.file.pno.Id,12
recumcount.file.Id,12
recumcount.remote_addr.http_referer.pno,11
recumcount.remote_addr.pno.Id,11
recumcount.http_referer.http_user_agent.pno,10
recumcount.http_referer.http_user_agent.pno.Id,10
recumcount.remote_addr.http_user_agent,10
recumcount.remote_addr.http_x_forwarded_for,10
recumcount.http_x_forwarded_for.pno,10
recumcount.file.http_user_agent.Id,9
recumcount.http_user_agent.http_x_forwarded_for.Id,8
recumcount.file.http_user_agent.http_x_forwarded_for.pno,8
recumcount.http_user_agent.pno,8
recumcount.file.http_referer,8
recumcount.remote_addr.http_referer.http_user_agent.pno,8
recumcount.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,8
recumcount.file.http_x_forwarded_for,7
recumcount.remote_addr.file.http_referer.http_user_agent.Id,7
recumcount.http_user_agent.pno.Id,7
recumcount.remote_addr.http_referer.http_user_agent.pno.Id,7
recumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,7
recumcount.file.http_user_agent.pno,7
recumcount.remote_addr.http_user_agent.pno.Id,7
recumcount.http_user_agent.http_x_forwarded_for.pno.Id,6
recumcount.file.http_referer.http_user_agent,6
recumcount.file.http_referer.http_user_agent.http_x_forwarded_for.pno,6
recumcount.file.http_referer.http_x_forwarded_for.pno,6
recumcount.remote_addr.file.http_referer.pno.Id,5
recumcount.remote_addr.http_referer.http_x_forwarded_for,5
recumcount.http_referer.http_user_agent.http_x_forwarded_for.Id,5
recumcount.file.http_user_agent.http_x_forwarded_for.Id,5
recumcount.remote_addr.http_referer.pno.Id,5
recumcount.remote_addr.http_x_forwarded_for.Id,5
recumcount.remote_addr.http_user_agent.Id,5
recumcount.file.http_x_forwarded_for.pno,4
recumcount.remote_addr.file.http_user_agent.Id,4
recumcount.file.http_referer.http_user_agent.Id,4
recumcount.remote_addr.http_user_agent.http_x_forwarded_for,4
recumcount.remote_addr.file.http_referer.Id,4
recumcount.http_referer.http_user_agent.Id,4
recumcount.remote_addr.file.http_user_agent.pno,4
recumcount.remote_addr.file.Id,3
recumcount.file.http_referer.http_x_forwarded_for.Id,3
recumcount.file.http_x_forwarded_for.Id,3
recumcount.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,3
recumcount.file.http_referer.http_user_agent.pno,3
recumcount.body_bytes_sent,2
recumcount.remote_addr.file.http_user_agent.pno.Id,2
recumcount.remote_addr.file.http_referer.http_user_agent.pno,2
recumcount.remote_addr.file.http_referer.http_user_agent.pno.Id,2
recumcount.file.http_x_forwarded_for.pno.Id,1
recumcount.http_referer.http_x_forwarded_for.pno.Id,1
recumcount.remote_addr.http_user_agent.http_x_forwarded_for.pno,1
recumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,1
recumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,1
recumcount.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.Id,1
recumcount.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,1
recumcount.remote_addr.file.pno.Id,1
recumcount.file.http_user_agent.pno.Id,1
recumcount.remote_addr.file.http_referer.pno,1
recumcount.file.http_referer.http_x_forwarded_for,1
recumcount.file.http_referer.http_x_forwarded_for.pno.Id,1
recumcount.remote_addr.file.http_referer,1
recumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
recumcount.file.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcount.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcount.remote_addr.http_x_forwarded_for.pno,0
recumcount.remote_addr.http_x_forwarded_for.pno.Id,0
recumcount.file.http_referer.http_user_agent.pno.Id,0
recumcount.remote_addr.http_user_agent.http_x_forwarded_for.Id,0
recumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
recumcount.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
recumcount.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcount.remote_addr.file.http_user_agent.http_x_forwarded_for,0
recumcount.remote_addr.file.http_x_forwarded_for,0
recumcount.remote_addr.file.http_x_forwarded_for.Id,0
recumcount.remote_addr.file.http_x_forwarded_for.pno,0
recumcount.remote_addr.file.http_x_forwarded_for.pno.Id,0
recumcount.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
recumcount.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
time_second,0
recumcount.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
recumcount.remote_addr.file.http_referer.http_x_forwarded_for,0
recumcount.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
recumcount.remote_addr.http_referer.http_x_forwarded_for.Id,0
recumcount.remote_addr.http_referer.http_x_forwarded_for.pno,0
recumcount.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
