column,importance
file,6091
http_user_agent,1826
body_bytes_sent,1391
time,1361
http_x_forwarded_for,1195
remote_addr,394
http_referer,320
pno,279
request_time,182
Id,99
time_day,92
recumcountday.http_referer.http_x_forwarded_for,83
recumcountday.request_time,81
recumcountday.remote_addr,72
recumcountday.file.http_user_agent.http_x_forwarded_for,50
recumcountday.http_referer.http_user_agent.http_x_forwarded_for,39
recumcountday.file.pno,38
recumcountday.file,36
recumcountday.remote_addr.http_referer.http_user_agent,35
recumcountday.http_referer.http_x_forwarded_for.Id,35
recumcountday.http_user_agent,34
recumcountday.remote_addr.Id,33
recumcountday.remote_addr.file.http_referer.http_user_agent,33
recumcountday.http_user_agent.Id,33
recumcountday.file.http_user_agent,31
recumcountday.http_x_forwarded_for.Id,31
time_hour,31
time_minute,31
recumcountday.http_referer.http_user_agent,30
recumcountday.http_x_forwarded_for,29
recumcountday.file.http_referer.http_user_agent.http_x_forwarded_for,29
recumcountday.Id,26
recumcountday.http_user_agent.pno,25
recumcountday.remote_addr.file.http_user_agent,24
recumcountday.remote_addr.file.pno,23
recumcountday.file.http_referer.pno,22
recumcountday.http_referer.http_user_agent.pno,22
recumcountday.http_referer,21
recumcountday.file.http_referer.http_user_agent,19
recumcountday.remote_addr.http_referer.http_user_agent.pno,16
recumcountday.file.http_referer.Id,16
recumcountday.http_referer.Id,15
recumcountday.http_referer.http_x_forwarded_for.pno,14
recumcountday.remote_addr.http_user_agent.http_x_forwarded_for,14
recumcountday.remote_addr.file,13
recumcountday.remote_addr.http_referer.Id,11
recumcountday.file.http_referer.pno.Id,11
recumcountday.remote_addr.http_user_agent,11
recumcountday.http_referer.pno,11
recumcountday.remote_addr.http_user_agent.pno,11
recumcountday.file.http_referer,11
recumcountday.file.http_referer.http_user_agent.pno,11
recumcountday.remote_addr.http_referer.http_user_agent.Id,10
recumcountday.remote_addr.file.http_referer,10
recumcountday.file.http_x_forwarded_for,9
recumcountday.http_referer.http_user_agent.http_x_forwarded_for.Id,9
recumcountday.remote_addr.pno,9
recumcountday.remote_addr.file.http_referer.Id,9
recumcountday.http_user_agent.http_x_forwarded_for,9
recumcountday.http_referer.http_user_agent.http_x_forwarded_for.pno,8
recumcountday.file.Id,8
recumcountday.remote_addr.pno.Id,8
recumcountday.file.http_referer.http_user_agent.http_x_forwarded_for.Id,7
