column,importance
file,6091
http_user_agent,1826
body_bytes_sent,1391
time,1361
http_x_forwarded_for,1195
remote_addr,394
http_referer,320
pno,279
request_time,182
Id,99
time_day,92
recumcounthour.http_referer.http_x_forwarded_for,83
recumcounthour.request_time,81
recumcounthour.remote_addr,72
recumcounthour.file.http_user_agent.http_x_forwarded_for,50
recumcounthour.http_referer.http_user_agent.http_x_forwarded_for,39
recumcounthour.file.pno,38
recumcounthour.file,36
recumcounthour.remote_addr.http_referer.http_user_agent,35
recumcounthour.http_referer.http_x_forwarded_for.Id,35
recumcounthour.http_user_agent,34
recumcounthour.remote_addr.Id,33
recumcounthour.remote_addr.file.http_referer.http_user_agent,33
recumcounthour.http_user_agent.Id,33
recumcounthour.file.http_user_agent,31
recumcounthour.http_x_forwarded_for.Id,31
time_hour,31
time_minute,31
recumcounthour.http_referer.http_user_agent,30
recumcounthour.http_x_forwarded_for,29
recumcounthour.file.http_referer.http_user_agent.http_x_forwarded_for,29
recumcounthour.Id,26
recumcounthour.http_user_agent.pno,25
recumcounthour.remote_addr.file.http_user_agent,24
recumcounthour.remote_addr.file.pno,23
recumcounthour.file.http_referer.pno,22
recumcounthour.http_referer.http_user_agent.pno,22
recumcounthour.http_referer,21
recumcounthour.file.http_referer.http_user_agent,19
recumcounthour.remote_addr.http_referer.http_user_agent.pno,16
recumcounthour.file.http_referer.Id,16
recumcounthour.http_referer.Id,15
recumcounthour.http_referer.http_x_forwarded_for.pno,14
recumcounthour.remote_addr.http_user_agent.http_x_forwarded_for,14
recumcounthour.remote_addr.file,13
recumcounthour.remote_addr.http_referer.Id,11
recumcounthour.file.http_referer.pno.Id,11
recumcounthour.remote_addr.http_user_agent,11
recumcounthour.http_referer.pno,11
recumcounthour.remote_addr.http_user_agent.pno,11
recumcounthour.file.http_referer,11
recumcounthour.file.http_referer.http_user_agent.pno,11
recumcounthour.remote_addr.http_referer.http_user_agent.Id,10
recumcounthour.remote_addr.file.http_referer,10
recumcounthour.file.http_x_forwarded_for,9
recumcounthour.http_referer.http_user_agent.http_x_forwarded_for.Id,9
recumcounthour.remote_addr.pno,9
recumcounthour.remote_addr.file.http_referer.Id,9
recumcounthour.http_user_agent.http_x_forwarded_for,9
recumcounthour.http_referer.http_user_agent.http_x_forwarded_for.pno,8
recumcounthour.file.Id,8
