column,importance
file,5090
http_user_agent,1529
http_x_forwarded_for,1240
time,1081
body_bytes_sent,853
remote_addr,393
http_referer,308
pno,235
request_time,185
Id,112
recumcountminute.request_time,93
time_day,71
recumcountminute.http_referer.http_x_forwarded_for,65
recumcountminute.http_user_agent,55
recumcountminute.remote_addr.http_referer.http_user_agent,53
recumcountminute.remote_addr,48
recumcountminute.http_referer.http_user_agent,46
recumcountminute.file.pno,40
time_second,38
recumcountminute.http_x_forwarded_for,34
recumcountminute.http_referer.http_user_agent.http_x_forwarded_for,34
recumcountminute.remote_addr.file.http_referer.http_user_agent,33
recumcountminute.Id,30
time_hour,30
recumcountminute.http_x_forwarded_for.Id,29
recumcountminute.remote_addr.pno,28
recumcountminute.remote_addr.file.http_user_agent,26
recumcountminute.file,25
recumcountminute.file.http_referer.http_user_agent.http_x_forwarded_for,24
recumcountminute.file.http_user_agent,23
recumcountminute.file.http_user_agent.http_x_forwarded_for,22
recumcountminute.file.http_referer.http_user_agent.pno,22
recumcountminute.file.http_referer.http_user_agent,22
recumcountminute.http_user_agent.Id,22
recumcountminute.remote_addr.Id,20
recumcountminute.http_user_agent.pno,18
recumcountminute.http_referer.http_x_forwarded_for.pno,17
recumcountminute.file.http_referer.pno,16
recumcountminute.http_user_agent.http_x_forwarded_for,16
recumcountminute.http_referer.Id,16
recumcountminute.http_referer,16
recumcountminute.http_referer.http_x_forwarded_for.Id,14
recumcountminute.file.http_referer,14
recumcountminute.http_referer.http_user_agent.http_x_forwarded_for.Id,12
recumcountminute.remote_addr.file,12
recumcountminute.http_referer.http_user_agent.pno,12
recumcountminute.remote_addr.http_user_agent.http_x_forwarded_for,12
recumcountminute.remote_addr.pno.Id,12
recumcountminute.remote_addr.http_referer.http_user_agent.Id,9
recumcountminute.file.Id,9
recumcountminute.remote_addr.http_referer.http_user_agent.pno,9
recumcountminute.file.http_referer.http_x_forwarded_for.pno,9
recumcountminute.http_referer.http_user_agent.Id,8
recumcountminute.remote_addr.file.http_user_agent.Id,8
recumcountminute.http_user_agent.http_x_forwarded_for.pno,8
recumcountminute.http_referer.http_user_agent.http_x_forwarded_for.pno,7
recumcountminute.file.pno.Id,7
recumcountminute.file.http_referer.pno.Id,7
recumcountminute.file.http_referer.Id,7
recumcountminute.remote_addr.file.pno,6
recumcountminute.remote_addr.file.http_referer.http_user_agent.Id,6
recumcountminute.file.http_referer.http_x_forwarded_for,6
recumcountminute.http_referer.pno,6
recumcountminute.pno.Id,6
recumcountminute.remote_addr.http_referer.pno,5
recumcountminute.file.http_user_agent.Id,5
recumcountminute.remote_addr.http_user_agent.Id,5
recumcountminute.file.http_x_forwarded_for,5
recumcountminute.file.http_user_agent.http_x_forwarded_for.Id,4
recumcountminute.file.http_referer.http_user_agent.http_x_forwarded_for.pno,4
recumcountminute.file.http_user_agent.http_x_forwarded_for.pno,4
recumcountminute.http_user_agent.pno.Id,4
recumcountminute.remote_addr.http_user_agent,4
recumcountminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for,4
recumcountminute.file.http_user_agent.pno,4
recumcountminute.http_referer.pno.Id,4
recumcountminute.remote_addr.http_referer,4
recumcountminute.http_user_agent.http_x_forwarded_for.Id,3
recumcountminute.file.http_user_agent.pno.Id,3
recumcountminute.remote_addr.http_user_agent.http_x_forwarded_for.Id,3
recumcountminute.file.http_referer.http_user_agent.Id,3
recumcountminute.remote_addr.http_referer.pno.Id,3
recumcountminute.remote_addr.http_referer.http_x_forwarded_for,3
recumcountminute.remote_addr.file.http_referer.http_user_agent.pno,3
recumcountminute.remote_addr.file.http_user_agent.pno,2
recumcountminute.body_bytes_sent,2
recumcountminute.file.http_referer.http_user_agent.pno.Id,2
recumcountminute.http_x_forwarded_for.pno,2
recumcountminute.http_referer.http_user_agent.pno.Id,2
recumcountminute.remote_addr.file.http_referer,1
recumcountminute.remote_addr.http_x_forwarded_for.Id,1
recumcountminute.http_referer.http_x_forwarded_for.pno.Id,1
recumcountminute.http_x_forwarded_for.pno.Id,1
recumcountminute.remote_addr.file.pno.Id,1
recumcountminute.remote_addr.file.Id,1
recumcountminute.http_user_agent.http_x_forwarded_for.pno.Id,1
recumcountminute.remote_addr.file.http_referer.pno,1
recumcountminute.file.http_referer.http_x_forwarded_for.pno.Id,1
recumcountminute.remote_addr.http_user_agent.pno.Id,0
recumcountminute.file.http_referer.http_x_forwarded_for.Id,0
recumcountminute.remote_addr.http_referer.http_x_forwarded_for.Id,0
recumcountminute.remote_addr.http_referer.http_x_forwarded_for.pno,0
recumcountminute.file.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.http_referer.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.http_referer.Id,0
recumcountminute.remote_addr.http_x_forwarded_for.pno,0
recumcountminute.remote_addr.http_x_forwarded_for,0
recumcountminute.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.file.http_x_forwarded_for.pno.Id,0
recumcountminute.file.http_x_forwarded_for.pno,0
recumcountminute.remote_addr.http_referer.http_user_agent.pno.Id,0
recumcountminute.remote_addr.http_user_agent.http_x_forwarded_for.pno,0
recumcountminute.remote_addr.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.file.http_x_forwarded_for.Id,0
recumcountminute.remote_addr.http_user_agent.pno,0
recumcountminute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno,0
recumcountminute.file.http_referer.http_user_agent.http_x_forwarded_for.Id,0
recumcountminute.remote_addr.http_referer.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.file.http_referer.http_x_forwarded_for,0
recumcountminute.remote_addr.file.http_referer.http_x_forwarded_for.Id,0
recumcountminute.remote_addr.file.http_referer.http_x_forwarded_for.pno,0
recumcountminute.remote_addr.file.http_referer.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.file.http_referer.Id,0
recumcountminute.remote_addr.file.http_referer.pno.Id,0
recumcountminute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for.pno,0
recumcountminute.remote_addr.file.http_user_agent.http_x_forwarded_for,0
recumcountminute.remote_addr.file.http_user_agent.http_x_forwarded_for.Id,0
recumcountminute.remote_addr.file.http_user_agent.http_x_forwarded_for.pno,0
recumcountminute.remote_addr.file.http_user_agent.http_x_forwarded_for.pno.Id,0
recumcountminute.remote_addr.file.http_referer.http_user_agent.http_x_forwarded_for,0
